"state","county","party","osoby_18_do_65_hr","liczba_glosow"
Oklahoma,Cotton,Republican,57.9,594
New Mexico,Sandoval,Republican,60.3,7335
Mississippi,Tishomingo,Republican,58.4,3457
Texas,Grayson,Republican,59.2,19418
Louisiana,Vermilion,Republican,59.6,3025
Virginia,Galax,Republican,56.1,599
Washington,Whitman,Republican,74.8,2720
Arkansas,Saint Francis,Republican,63.6,1415
Georgia,Colquitt,Republican,59.2,5846
Kentucky,Trigg,Republican,57.1,921
Washington,Clark,Republican,61.0,41638
New York,Staten Island,Republican,63.2,24688
Illinois,Saline,Republican,59.1,4119
Indiana,Washington,Republican,61.0,4904
Texas,Taylor,Republican,61.5,21287
California,San Luis Obispo,Republican,64.4,24422
North Carolina,Perquimans,Republican,55.4,1594
Indiana,Knox,Republican,62.1,7191
Louisiana,Claiborne,Republican,64.1,947
Pennsylvania,Westmoreland,Republican,60.5,51093
Mississippi,Lamar,Republican,62.6,11125
Pennsylvania,Chester,Republican,62.0,74428
Kentucky,Jackson,Republican,62.1,1114
Indiana,Miami,Republican,62.5,6011
Florida,Duval,Republican,64.3,108027
North Carolina,Edgecombe,Republican,59.9,2483
Indiana,Brown,Republican,59.4,3778
Kentucky,Estill,Republican,61.0,600
Wisconsin,Columbia,Republican,61.4,10846
Michigan,Ontonagon,Republican,54.6,1026
Georgia,Clinch,Republican,59.1,784
Missouri,Randolph,Republican,62.5,4040
Virginia,Loudoun,Republican,62.7,51081
Virginia,Colonial Heights,Republican,56.8,2863
California,San Mateo,Republican,63.8,18350
Georgia,Lamar,Republican,63.3,3021
North Carolina,Nash,Republican,60.7,10382
Michigan,Missaukee,Republican,57.7,2899
Iowa,Cass,Republican,55.9,924
California,San Diego,Republican,65.0,153102
Idaho,Ada,Republican,62.3,48727
Illinois,Stephenson,Republican,57.6,8136
Iowa,Sac,Republican,55.7,669
Oklahoma,Latimer,Republican,58.1,479
Texas,Goliad,Republican,58.0,1505
California,Butte,Republican,62.8,18594
Arkansas,Miller,Republican,60.7,6707
Oklahoma,Ellis,Republican,56.5,863
Wisconsin,Juneau,Republican,60.5,4969
Oregon,Washington,Republican,63.8,41003
Tennessee,Rhea,Republican,59.3,5131
Kentucky,Graves,Republican,58.4,1335
Georgia,Fayette,Republican,59.9,24365
South Carolina,Edgefield,Republican,64.7,4007
Ohio,Warren,Republican,61.1,52448
North Carolina,Burke,Republican,61.7,10932
Indiana,Pulaski,Republican,59.4,2902
New York,Putnam,Republican,63.8,8181
Oregon,Douglas,Republican,56.9,16133
Iowa,Pocahontas,Republican,55.1,483
Illinois,Woodford,Republican,59.1,10310
Wisconsin,Oneida,Republican,58.9,8721
Oklahoma,Coal,Republican,55.7,246
Illinois,Monroe,Republican,61.2,7417
Georgia,Polk,Republican,59.1,5962
Oklahoma,Caddo,Republican,59.5,1978
North Carolina,Caswell,Republican,61.4,1951
Illinois,Brown,Republican,72.0,959
Washington,Pacific,Republican,55.1,2373
Arkansas,Grant,Republican,60.4,3175
Oklahoma,Tillman,Republican,57.4,669
South Dakota,Davison,Republican,59.6,1185
Nevada,Mineral,Republican,55.8,191
Texas,Limestone,Republican,59.4,3542
Georgia,Chatham,Republican,64.2,30123
Washington,Pierce,Republican,63.3,60812
Arkansas,Bradley,Republican,58.3,1663
Louisiana,Lincoln,Republican,67.4,3096
Alabama,Dale,Republican,61.0,8836
Arkansas,Washington,Republican,64.0,28420
Georgia,McDuffie,Republican,58.9,3127
Washington,Clallam,Republican,55.4,8220
Kentucky,Green,Republican,59.5,1316
Virginia,Alleghany,Republican,56.6,1564
Washington,Lincoln,Republican,54.4,1791
Pennsylvania,Delaware,Republican,62.6,78459
Oregon,Lincoln,Republican,58.1,4722
North Carolina,Wake,Republican,65.0,117601
Wisconsin,Vilas,Republican,54.2,6079
Louisiana,Avoyelles,Republican,60.7,1522
Idaho,Gooding,Republican,55.4,1885
Indiana,Whitley,Republican,60.6,8593
Georgia,Terrell,Republican,58.7,1137
Texas,Wood,Republican,53.8,10579
North Carolina,Orange,Republican,68.4,10210
Washington,Island,Republican,58.6,9784
Oregon,Benton,Republican,68.8,7293
Missouri,DeKalb,Republican,67.5,1750
Ohio,Ashland,Republican,59.5,11223
Florida,DeSoto,Republican,59.4,2424
Oklahoma,Tulsa,Republican,61.4,86869
New Mexico,Bernalillo,Republican,62.9,28392
Florida,Okaloosa,Republican,62.7,37994
Texas,Gonzales,Republican,57.4,3209
Nebraska,Thayer,Republican,53.4,684
Illinois,Hamilton,Republican,57.5,1603
Missouri,Pike,Republican,61.6,2615
Mississippi,Lincoln,Republican,59.7,6046
Florida,Highlands,Republican,48.4,14462
Tennessee,Warren,Republican,59.6,4745
Ohio,Stark,Republican,60.4,68099
Missouri,St. Louis County,Republican,61.2,131291
South Carolina,Greenwood,Republican,59.8,10532
Washington,Skamania,Republican,61.8,1264
Georgia,Emanuel,Republican,59.1,2928
Pennsylvania,Columbia,Republican,64.8,8467
West Virginia,Mason,Republican,60.0,3035
Tennessee,Unicoi,Republican,58.8,3469
Wisconsin,Jackson,Republican,60.0,3316
North Carolina,Greene,Republican,63.7,1388
New Jersey,Essex,Republican,63.4,14646
Texas,Hale,Republican,59.3,4239
Texas,Andrews,Republican,59.5,2707
Oregon,Wheeler,Republican,51.2,280
Georgia,Clayton,Republican,63.4,7625
New Mexico,Catron,Republican,51.0,582
Ohio,Henry,Republican,58.5,6584
Mississippi,Amite,Republican,57.9,2225
Virginia,Buchanan,Republican,62.9,2267
Oregon,Linn,Republican,59.5,13558
New York,Schenectady,Republican,62.2,8954
North Carolina,Cleveland,Republican,60.6,10200
Indiana,Grant,Republican,61.5,12381
Iowa,Palo Alto,Republican,56.6,432
Mississippi,Issaquena,Republican,71.3,165
Virginia,Floyd,Republican,59.1,2406
Ohio,Lawrence,Republican,60.5,11834
Washington,Kittitas,Republican,67.3,3901
Indiana,Fulton,Republican,58.5,4269
Pennsylvania,Perry,Republican,62.0,9192
Illinois,Rock Island,Republican,60.3,13956
Virginia,Prince George,Republican,66.4,3989
New York,Chemung,Republican,61.2,7933
Georgia,Coffee,Republican,63.0,4455
Washington,Benton,Republican,59.9,18908
Ohio,Ashtabula,Republican,60.0,13520
New Jersey,Union,Republican,63.1,16439
Pennsylvania,Schuylkill,Republican,61.2,22225
Virginia,Lexington,Republican,73.6,540
Louisiana,Tangipahoa,Republican,62.4,7552
Georgia,Walker,Republican,60.7,9852
California,Modoc,Republican,56.7,1159
New York,Fulton,Republican,61.1,5616
New York,Brooklyn,Republican,64.6,23328
Texas,Wheeler,Republican,56.4,1593
Ohio,Hardin,Republican,62.0,5242
Tennessee,Bledsoe,Republican,64.4,2003
Montana,Treasure,Republican,55.4,165
Iowa,Tama,Republican,56.7,983
Montana,Liberty,Republican,59.0,467
Missouri,Benton,Republican,53.6,4017
Oklahoma,Wagoner,Republican,60.0,11417
Kentucky,Harrison,Republican,60.2,696
Illinois,Massac,Republican,57.8,2943
Illinois,Henderson,Republican,58.1,1176
Pennsylvania,Tioga,Republican,60.5,7004
Wisconsin,Sawyer,Republican,56.8,3652
Alabama,Bibb,Republican,64.2,3891
Ohio,Wyandot,Republican,58.7,4505
Virginia,Stafford,Republican,64.1,20153
Illinois,Fulton,Republican,60.9,4448
Iowa,Wright,Republican,55.6,562
Utah,Washington,Republican,52.1,12525
Mississippi,Yalobusha,Republican,59.0,1827
Iowa,Wayne,Republican,53.5,419
Mississippi,Wilkinson,Republican,62.8,641
Kentucky,Scott,Republican,63.5,2947
Washington,Ferry,Republican,59.1,1093
Illinois,Boone,Republican,59.9,9382
Wisconsin,Kenosha,Republican,63.4,25724
Virginia,Pittsylvania,Republican,60.1,8349
Georgia,Liberty,Republican,63.8,2859
Michigan,Lapeer,Republican,62.1,15439
Illinois,Greene,Republican,59.7,2098
Arkansas,Sebastian,Republican,61.0,18181
Kentucky,Whitley,Republican,61.0,3199
Georgia,Heard,Republican,60.7,1912
Michigan,Macomb,Republican,62.5,118220
California,Mariposa,Republican,58.8,2394
Tennessee,Johnson,Republican,62.0,2769
Washington,Jefferson,Republican,54.8,3093
South Dakota,Butte,Republican,57.3,1511
Georgia,Washington,Republican,61.7,2256
Georgia,Rockdale,Republican,61.6,9113
Georgia,Ben Hill,Republican,59.2,1799
Virginia,Lancaster,Republican,49.8,2069
Florida,Columbia,Republican,60.9,8157
Florida,Volusia,Republican,58.8,61542
Tennessee,Sequatchie,Republican,59.0,2109
Iowa,Delaware,Republican,58.1,894
New York,Broome,Republican,62.8,16914
Washington,Klickitat,Republican,58.4,2787
Missouri,Putnam,Republican,55.1,1015
Kentucky,Greenup,Republican,59.0,1474
Illinois,Lawrence,Republican,64.2,2525
Iowa,Woodbury,Republican,60.2,5055
Texas,Jim Hogg,Republican,54.2,42
Oklahoma,Rogers,Republican,60.1,15533
Nebraska,Perkins,Republican,54.0,515
Ohio,Champaign,Republican,60.0,8345
North Carolina,Richmond,Republican,60.3,2590
Montana,Golden Valley,Republican,55.3,241
Arkansas,Pulaski,Republican,62.8,45524
Arkansas,Sharp,Republican,53.9,2867
Idaho,Minidoka,Republican,55.6,2431
Maryland,Calvert,Republican,62.8,10498
Virginia,Nottoway,Republican,61.3,1599
South Carolina,Barnwell,Republican,58.8,2588
Ohio,Logan,Republican,59.5,10171
Virginia,Craig,Republican,59.6,846
Tennessee,Trousdale,Republican,61.7,911
Wisconsin,Dane,Republican,67.0,67259
Wisconsin,Marinette,Republican,58.7,8989
Indiana,Benton,Republican,58.5,2066
Oregon,Lane,Republican,63.5,31552
Georgia,Putnam,Republican,57.2,3985
Florida,Osceola,Republican,62.2,21193
Texas,Montgomery,Republican,61.2,88248
Arkansas,Lafayette,Republican,58.3,777
Michigan,Iron,Republican,55.3,1766
New York,Delaware,Republican,59.9,4537
Texas,Martin,Republican,57.6,919
Iowa,Bremer,Republican,59.8,1490
Ohio,Guernsey,Republican,59.7,6803
Missouri,Dent,Republican,56.9,3193
Georgia,Camden,Republican,63.5,6221
Georgia,Montgomery,Republican,62.3,1437
Alabama,Jefferson,Republican,62.6,92419
Georgia,Bryan,Republican,60.7,5592
Louisiana,Cameron,Republican,62.4,451
Iowa,Franklin,Republican,57.1,628
Georgia,Wheeler,Republican,70.3,555
Virginia,Staunton,Republican,60.5,3148
Texas,Hockley,Republican,59.6,3959
Michigan,Gratiot,Republican,63.1,4620
Michigan,Osceola,Republican,57.4,4027
Kentucky,Hopkins,Republican,60.1,1615
Missouri,Marion,Republican,59.6,4939
Nebraska,Dawes,Republican,64.0,1213
Georgia,Fulton,Republican,66.4,82997
Georgia,Early,Republican,56.4,1326
Nebraska,Box Butte,Republican,58.6,1619
Wisconsin,Rock,Republican,61.0,24045
Idaho,Bingham,Republican,55.4,6727
Texas,Robertson,Republican,57.1,2569
South Dakota,Jackson,Republican,52.6,211
Michigan,Berrien,Republican,59.7,20998
South Dakota,Sully,Republican,59.6,199
Georgia,Jeff Davis,Republican,58.3,2242
New York,Tompkins,Republican,72.3,4568
Montana,Fergus,Republican,56.6,2431
Nebraska,Blaine,Republican,54.8,125
Alabama,Autauga,Republican,61.0,11839
Florida,Hardee,Republican,58.5,2121
Missouri,Bollinger,Republican,59.6,2622
Virginia,Charles City,Republican,62.9,661
Georgia,Newton,Republican,61.0,12637
Indiana,Decatur,Republican,59.8,5742
Texas,Sabine,Republican,52.8,2742
Ohio,Perry,Republican,60.8,5750
Kentucky,Owen,Republican,60.2,495
Texas,Sherman,Republican,58.2,496
Utah,Wasatch,Republican,57.7,2376
Iowa,Dallas,Republican,60.2,7281
Idaho,Canyon,Republican,57.6,22868
Texas,Tom Green,Republican,61.9,16090
Virginia,Richmond,Republican,63.4,820
South Dakota,Gregory,Republican,53.2,442
New Mexico,Chaves,Republican,58.0,4367
Texas,Medina,Republican,60.6,7332
Virginia,Fredericksburg,Republican,69.6,2231
Wisconsin,Lafayette,Republican,58.6,2824
Nebraska,Saunders,Republican,57.7,2591
South Dakota,Aurora,Republican,54.0,213
South Dakota,Deuel,Republican,56.0,260
Louisiana,St. Martin,Republican,61.8,3248
Missouri,Newton,Republican,58.2,12044
Virginia,Charlotte,Republican,58.2,1471
Georgia,Murray,Republican,61.4,5315
Utah,Tooele,Republican,56.9,3409
Arkansas,Jackson,Republican,62.9,1612
South Dakota,Pennington,Republican,60.6,11891
Virginia,Franklin City,Republican,56.3,754
California,Mono,Republican,68.7,1062
Mississippi,Hancock,Republican,60.6,7103
Tennessee,Wayne,Republican,63.2,2158
Iowa,Jasper,Republican,59.5,2323
Iowa,Monroe,Republican,57.4,541
Oklahoma,Blaine,Republican,55.8,1414
Virginia,Culpeper,Republican,60.7,6878
Iowa,Grundy,Republican,56.8,946
Texas,Starr,Republican,55.7,123
Texas,Lamb,Republican,55.4,2385
New York,Essex,Republican,61.7,3596
California,Madera,Republican,59.6,10021
Virginia,Virginia Beach,Republican,64.9,55150
Texas,Reeves,Republican,65.5,122
Iowa,Carroll,Republican,56.7,1025
Texas,Loving,Republican,54.7,29
Florida,Collier,Republican,52.3,63281
Arkansas,Phillips,Republican,56.5,625
Mississippi,Lawrence,Republican,59.8,2107
Georgia,Harris,Republican,61.3,6809
North Carolina,Jones,Republican,59.3,1078
Indiana,Clinton,Republican,57.9,6363
Kentucky,Pulaski,Republican,59.6,6622
Illinois,Jasper,Republican,58.9,2110
South Carolina,Oconee,Republican,58.0,15581
Alabama,Chilton,Republican,60.6,10404
Iowa,Black Hawk,Republican,63.7,5908
Louisiana,St. Helena,Republican,59.9,537
Mississippi,Wayne,Republican,59.5,3261
Kentucky,McCracken,Republican,59.9,3494
Nebraska,Keith,Republican,56.2,1657
Kentucky,Johnson,Republican,61.3,1962
North Carolina,Gates,Republican,60.6,721
Georgia,Jenkins,Republican,62.1,973
North Carolina,Sampson,Republican,59.3,6806
Texas,Hardin,Republican,60.0,12042
New York,Onondaga,Republican,62.8,31527
Wisconsin,Green,Republican,60.0,6740
South Dakota,Stanley,Republican,59.0,480
Kentucky,Letcher,Republican,61.7,701
Illinois,McHenry,Republican,62.9,39324
Illinois,Johnson,Republican,62.2,3028
North Carolina,Stanly,Republican,60.7,10142
Arkansas,Newton,Republican,56.2,2684
Illinois,Douglas,Republican,58.2,3941
Florida,Union,Republican,68.4,1350
Virginia,James City,Republican,56.2,15186
Idaho,Camas,Republican,57.0,290
Oregon,Baker,Republican,55.9,3481
Virginia,Fluvanna,Republican,60.5,3600
Utah,Beaver,Republican,54.0,363
Missouri,Reynolds,Republican,56.5,1085
North Carolina,Lincoln,Republican,62.2,13439
California,Lassen,Republican,70.5,2868
Texas,Dallam,Republican,59.3,802
Texas,Borden,Republican,57.8,302
Georgia,Thomas,Republican,59.1,6497
Nebraska,Nance,Republican,57.0,408
Georgia,Turner,Republican,55.1,1131
Tennessee,Hancock,Republican,60.3,863
Indiana,Franklin,Republican,59.7,5337
Virginia,Albemarle,Republican,62.5,14690
Indiana,LaGrange,Republican,53.8,5312
Missouri,Texas,Republican,59.1,5046
Utah,San Juan,Republican,55.9,567
New York,Columbia,Republican,60.6,4400
North Carolina,Anson,Republican,63.2,1191
Florida,Nassau,Republican,59.6,17562
North Carolina,Person,Republican,60.7,3994
Idaho,Owyhee,Republican,57.1,1634
Texas,Donley,Republican,57.0,785
Arkansas,Cross,Republican,58.4,2359
Georgia,Pulaski,Republican,61.4,1309
North Carolina,Jackson,Republican,65.2,3981
Indiana,Tipton,Republican,59.3,4151
Tennessee,Smith,Republican,61.2,2897
Oregon,Malheur,Republican,59.0,3404
South Dakota,Hughes,Republican,61.1,2562
Oklahoma,Woods,Republican,63.6,1565
Louisiana,Acadia,Republican,59.8,3680
New York,Genesee,Republican,62.1,5881
Utah,Rich,Republican,52.6,252
South Dakota,Lawrence,Republican,63.2,2626
Texas,Lee,Republican,59.7,3159
Iowa,Henry,Republican,60.1,1212
Virginia,Amherst,Republican,61.3,4433
Missouri,Lewis,Republican,59.2,1566
Texas,Llano,Republican,50.6,5667
West Virginia,Marshall,Republican,60.3,3632
Mississippi,Greene,Republican,67.1,2104
Nebraska,Chase,Republican,55.2,612
West Virginia,Monongalia,Republican,73.2,7765
Nebraska,Johnson,Republican,63.3,465
New York,Seneca,Republican,62.5,2826
Texas,Atascosa,Republican,58.2,4409
North Carolina,Granville,Republican,63.4,4970
Nevada,Lyon,Republican,57.9,2891
Texas,Mitchell,Republican,66.2,1179
South Carolina,Laurens,Republican,60.9,9638
Nebraska,Stanton,Republican,59.1,887
Ohio,Mercer,Republican,57.8,10243
Hawaii,Maui,Republican,62.6,1428
New York,Washington,Republican,62.9,5052
West Virginia,Raleigh,Republican,60.6,8423
Utah,Piute,Republican,49.6,168
Oregon,Columbia,Republican,60.5,5049
Texas,Baylor,Republican,53.6,783
Georgia,Macon,Republican,65.2,808
Missouri,Sullivan,Republican,58.7,967
Ohio,Defiance,Republican,59.7,8209
Missouri,Cole,Republican,63.1,14364
Nebraska,Nemaha,Republican,60.8,726
Mississippi,Carroll,Republican,59.2,2017
Virginia,Tazewell,Republican,61.2,5850
Georgia,Houston,Republican,62.6,18888
Montana,Prairie,Republican,51.7,316
Kentucky,Grayson,Republican,60.0,1846
Indiana,Elkhart,Republican,58.8,33112
Michigan,Mason,Republican,58.1,4782
Texas,Cherokee,Republican,58.3,8292
Alabama,Morgan,Republican,61.0,24124
Texas,Throckmorton,Republican,53.2,413
Nevada,Elko,Republican,62.7,2351
Mississippi,Franklin,Republican,57.7,1546
Alabama,Russell,Republican,62.2,3667
Iowa,Lucas,Republican,55.7,588
Iowa,Decatur,Republican,59.9,497
West Virginia,Monroe,Republican,56.7,1785
Indiana,Fayette,Republican,59.0,4045
Montana,Ravalli,Republican,56.6,8042
Alabama,Fayette,Republican,58.7,4797
Michigan,Muskegon,Republican,61.1,17816
Nebraska,Antelope,Republican,54.2,1075
Iowa,Lee,Republican,59.8,1315
Iowa,Allamakee,Republican,56.2,686
New Mexico,Quay,Republican,55.1,847
Washington,Okanogan,Republican,56.8,3266
Arkansas,Saline,Republican,59.1,22329
Texas,Rusk,Republican,61.7,8983
South Carolina,Cherokee,Republican,60.9,8612
Illinois,Pope,Republican,63.1,994
Texas,Schleicher,Republican,55.7,499
Alabama,Tallapoosa,Republican,59.3,8649
New York,Saint Lawrence,Republican,64.0,6500
Tennessee,White,Republican,58.8,4032
Indiana,Switzerland,Republican,58.9,1258
West Virginia,Tyler,Republican,59.7,1618
South Dakota,Grant,Republican,57.6,1249
Michigan,Bay,Republican,60.7,12921
Illinois,Bureau,Republican,58.3,5306
Texas,Panola,Republican,58.9,5180
Ohio,Morgan,Republican,58.5,3201
Iowa,Chickasaw,Republican,56.8,600
Washington,Mason,Republican,59.4,6684
Virginia,Northampton,Republican,55.7,1367
Utah,Morgan,Republican,53.3,1148
California,Los Angeles,Republican,65.0,243464
Michigan,Oceana,Republican,56.9,4292
Nebraska,Richardson,Republican,55.4,970
Virginia,Fairfax City,Republican,61.1,2986
Georgia,Treutlen,Republican,60.5,794
Oklahoma,Payne,Republican,69.5,9036
Alabama,Conecuh,Republican,58.2,1271
New York,Cayuga,Republican,62.5,6102
Mississippi,Newton,Republican,58.4,3756
South Dakota,McCook,Republican,54.3,501
Iowa,Webster,Republican,61.4,1591
Georgia,Jefferson,Republican,58.9,1694
Texas,Randall,Republican,62.1,24060
Oklahoma,Alfalfa,Republican,62.6,1117
South Dakota,Potter,Republican,51.0,756
Tennessee,Moore,Republican,59.1,1449
Missouri,Franklin,Republican,60.8,19906
Texas,Callahan,Republican,57.7,3234
Virginia,Spotsylvania,Republican,62.2,18128
Kentucky,Grant,Republican,60.1,1262
South Dakota,Bennett,Republican,54.1,238
Tennessee,Lauderdale,Republican,63.0,2278
Nebraska,Webster,Republican,55.3,481
Tennessee,Wilson,Republican,61.3,21723
Maryland,Frederick,Republican,63.2,28301
Texas,Nacogdoches,Republican,63.4,9644
Oklahoma,Texas,Republican,61.9,2571
North Carolina,Mitchell,Republican,58.0,3628
Iowa,Clarke,Republican,58.1,557
Idaho,Blaine,Republican,61.0,1509
Virginia,Essex,Republican,59.6,1151
Tennessee,McMinn,Republican,59.6,8287
Louisiana,West Feliciana,Republican,70.9,886
North Carolina,Cumberland,Republican,63.4,21996
Nebraska,Arthur,Republican,50.8,108
Arkansas,Franklin,Republican,58.4,3200
Pennsylvania,Crawford,Republican,60.3,13145
Florida,Bay,Republican,62.3,28823
Wisconsin,Manitowoc,Republican,60.2,17176
Virginia,Henry,Republican,58.4,5754
Louisiana,Jeff Davis,Republican,58.9,1522
Mississippi,Covington,Republican,58.2,3020
