"state","county","party","osoby_18_do_65_hr","liczba_glosow"
Florida,Charlotte,Republican,49.3,29159
Texas,Wise,Republican,60.5,10830
Louisiana,Bossier,Republican,61.9,10692
Alabama,Sumter,Republican,64.0,275
Alabama,Baldwin,Republican,59.1,49100
Virginia,Isle of Wight,Republican,61.6,5940
Georgia,Jasper,Republican,60.5,2459
Iowa,Cerro Gordo,Republican,59.8,2321
California,Del Norte,Republican,63.2,1828
Illinois,Kankakee,Republican,61.0,14510
Illinois,St. Clair,Republican,62.1,27861
North Carolina,Union,Republican,60.1,31203
Oklahoma,McIntosh,Republican,55.2,1461
Georgia,Quitman,Republican,54.7,296
Georgia,Oconee,Republican,59.7,9046
Kentucky,Lyon,Republican,61.3,430
Texas,Van Zandt,Republican,56.7,11459
Mississippi,Alcorn,Republican,59.1,5639
South Carolina,Lexington,Republican,62.1,54541
Arkansas,Fulton,Republican,54.2,1360
Georgia,Candler,Republican,57.7,1765
Indiana,Lawrence,Republican,59.5,9610
South Dakota,Douglas,Republican,52.4,412
Georgia,Brantley,Republican,60.3,2323
South Carolina,Dorchester,Republican,62.8,22071
Virginia,Chesterfield,Republican,62.8,53331
West Virginia,Hampshire,Republican,60.1,2621
Pennsylvania,Snyder,Republican,61.5,6775
Texas,Terrell,Republican,56.9,112
Mississippi,Perry,Republican,59.2,1303
Wisconsin,Florence,Republican,59.2,1186
Alabama,Cherokee,Republican,58.7,5193
Oklahoma,Stephens,Republican,58.2,5362
Texas,Galveston,Republican,62.5,38146
Tennessee,Williamson,Republican,60.3,41013
Iowa,Floyd,Republican,56.2,760
Michigan,Charlevoix,Republican,58.2,4731
Arkansas,Carroll,Republican,56.8,0
Oklahoma,Pottawatomie,Republican,60.1,7783
Wisconsin,Crawford,Republican,58.4,2557
Mississippi,Copiah,Republican,61.0,3596
Texas,Morris,Republican,56.1,1511
Alabama,Cullman,Republican,59.9,20557
Arkansas,Cleburne,Republican,54.8,6698
Texas,Sutton,Republican,58.4,874
Missouri,Gasconade,Republican,57.2,3049
Texas,San Jacinto,Republican,57.6,4545
Alabama,Blount,Republican,59.4,14791
South Dakota,Fall River,Republican,56.0,1302
Utah,Weber,Republican,59.7,10518
Pennsylvania,Montour,Republican,59.7,2871
Ohio,Wood,Republican,65.4,22235
Alabama,Jackson,Republican,59.7,10596
Indiana,Hendricks,Republican,61.8,36300
Georgia,Walton,Republican,59.9,18818
South Dakota,Harding,Republican,61.9,385
Iowa,Montgomery,Republican,56.6,571
Mississippi,Itawamba,Republican,60.7,4086
Montana,Chouteau,Republican,57.4,1053
New York,Oneida,Republican,61.2,19049
Tennessee,McNairy,Republican,57.9,3679
Maryland,Charles,Republican,64.1,9993
Indiana,Noble,Republican,59.7,8706
Iowa,Monona,Republican,54.0,512
Virginia,Russell,Republican,61.5,3078
Kentucky,Boyd,Republican,60.9,1920
Ohio,Scioto,Republican,61.2,11191
Texas,Henderson,Republican,57.2,14581
Tennessee,Cheatham,Republican,63.2,5632
Missouri,Oregon,Republican,55.6,1771
Ohio,Columbiana,Republican,60.8,18559
Texas,Motley,Republican,51.7,435
Oregon,Umatilla,Republican,60.1,7192
Georgia,Warren,Republican,58.2,623
Missouri,Caldwell,Republican,57.2,1726
Texas,Upshur,Republican,58.9,8087
Texas,Tyler,Republican,60.0,4150
Illinois,Fayette,Republican,61.2,3897
Virginia,Greene,Republican,60.0,2932
Oklahoma,Sequoyah,Republican,59.0,2709
Ohio,Coshocton,Republican,58.6,6390
Virginia,York,Republican,61.3,11841
Mississippi,Panola,Republican,59.9,4077
West Virginia,Harrison,Republican,60.6,6708
Michigan,Kalkaska,Republican,59.3,3302
Iowa,Benton,Republican,59.3,1634
Nebraska,Hitchcock,Republican,54.5,390
Nebraska,Furnas,Republican,54.8,719
Nebraska,Thomas,Republican,56.9,220
Virginia,Warren,Republican,62.9,5117
Kentucky,Robertson,Republican,58.2,54
Idaho,Teton,Republican,63.6,1000
Oklahoma,Roger Mills,Republican,56.0,470
Texas,Wharton,Republican,58.3,6375
California,Solano,Republican,63.6,21763
West Virginia,Gilmer,Republican,71.3,505
Montana,Jefferson,Republican,60.3,2027
Texas,Cottle,Republican,53.7,283
Texas,Anderson,Republican,67.0,8276
Georgia,Spalding,Republican,59.4,9825
North Carolina,Lenoir,Republican,59.2,4841
Utah,Sevier,Republican,54.1,1573
Montana,Judith Basin,Republican,58.7,525
Louisiana,St. Tammany,Republican,60.6,29530
Nevada,White Pine,Republican,63.4,430
Indiana,Madison,Republican,61.0,21666
Arizona,La Paz,Republican,46.5,1243
North Carolina,Yancey,Republican,57.2,2772
Missouri,Carter,Republican,58.3,1136
Idaho,Benewah,Republican,56.6,1266
Michigan,Roscommon,Republican,54.9,4140
Idaho,Lemhi,Republican,54.5,1884
Missouri,Morgan,Republican,54.3,3726
Ohio,Seneca,Republican,61.4,9808
Michigan,Antrim,Republican,55.8,4619
Washington,Garfield,Republican,55.5,412
Arizona,Yavapai,Republican,54.5,30811
Georgia,Troup,Republican,61.0,9381
Texas,San Patricio,Republican,58.5,6808
Tennessee,Washington,Republican,63.3,18723
Mississippi,Chickasaw,Republican,59.4,1968
Tennessee,Benton,Republican,57.7,2197
New York,Livingston,Republican,65.5,6594
New Jersey,Warren,Republican,62.8,12234
Nebraska,Harlan,Republican,53.9,658
Virginia,Dinwiddie,Republican,63.4,2775
Michigan,Crawford,Republican,58.0,2137
Texas,Archer,Republican,60.2,2384
Kentucky,Wayne,Republican,60.4,1642
Montana,Mineral,Republican,55.1,761
Florida,Baker,Republican,62.3,3973
Georgia,Haralson,Republican,59.6,5620
Louisiana,Catahoula,Republican,62.0,608
Alabama,Covington,Republican,58.1,9257
Washington,Thurston,Republican,62.7,21346
Kentucky,Shelby,Republican,61.9,3248
Iowa,Cherokee,Republican,56.6,838
Arkansas,Hot Spring,Republican,61.2,4185
Illinois,Grundy,Republican,61.2,7492
Virginia,Charlottesville,Republican,74.9,2784
Delaware,New Castle,Republican,64.0,31069
Texas,Young,Republican,56.6,4045
South Dakota,Meade,Republican,62.3,3128
Arkansas,Dallas,Republican,57.2,428
Iowa,Dubuque,Republican,60.7,3975
North Carolina,Scotland,Republican,60.4,1876
Wisconsin,Milwaukee,Republican,63.5,110132
Iowa,Clay,Republican,57.6,1024
Kentucky,Breckinridge,Republican,59.5,1235
Texas,Comanche,Republican,54.0,2795
Pennsylvania,Somerset,Republican,61.3,13760
New Mexico,Torrance,Republican,59.7,1343
Missouri,Grundy,Republican,55.3,1893
Texas,Williamson,Republican,62.0,62483
Oklahoma,Canadian,Republican,61.5,22108
Washington,Snohomish,Republican,64.7,45272
North Carolina,Alexander,Republican,60.1,6054
Montana,Carbon,Republican,59.4,1779
North Carolina,Stokes,Republican,60.9,7998
Louisiana,Sabine,Republican,57.1,1653
Georgia,Worth,Republican,60.4,3359
Washington,Wahkiakum,Republican,52.0,617
Ohio,Geauga,Republican,57.9,23441
Wisconsin,Outagamie,Republican,62.7,36724
Texas,Victoria,Republican,59.6,11751
Indiana,St. Joseph,Republican,61.7,36866
California,Nevada,Republican,58.8,9065
Florida,Broward,Republican,63.2,104576
Mississippi,Marion,Republican,59.2,4600
