"state","county","party","osoby_18_do_65_hr","liczba_glosow"
Oklahoma,Latimer,Democrat,58.1,1351
Oregon,Malheur,Democrat,59.0,1178
Ohio,Madison,Democrat,64.8,2148
Illinois,DeWitt,Democrat,60.3,1220
Wisconsin,Wood,Democrat,59.5,11171
Tennessee,Robertson,Democrat,61.4,2745
Virginia,Madison,Democrat,58.5,908
West Virginia,Barbour,Democrat,60.8,1680
Illinois,White,Democrat,56.5,1095
Ohio,Tuscarawas,Democrat,59.2,8498
Wisconsin,Trempealeau,Democrat,58.7,4417
Texas,Jackson,Democrat,57.2,360
Kentucky,LaRue,Democrat,60.6,1522
Idaho,Ada,Democrat,62.3,8999
Michigan,Gladwin,Democrat,55.6,2068
New York,Washington,Democrat,62.9,3254
North Carolina,Randolph,Democrat,60.3,5883
North Carolina,Anson,Democrat,63.2,3221
Texas,Williamson,Democrat,62.0,30875
Virginia,Portsmouth,Democrat,62.7,12004
Wyoming,Platte,Democrat,56.9,3
Missouri,Clay,Democrat,62.2,23172
Indiana,Fayette,Democrat,59.0,2081
Tennessee,Hawkins,Democrat,59.7,1493
Georgia,Hancock,Democrat,63.7,1257
Wisconsin,Polk,Democrat,59.7,4647
South Carolina,Laurens,Democrat,60.9,3751
Nevada,Douglas,Democrat,57.3,157
Georgia,Dawson,Democrat,60.3,580
Kentucky,Johnson,Democrat,61.3,1193
Texas,Hamilton,Democrat,53.4,202
New York,Clinton,Democrat,66.5,5851
Virginia,Russell,Democrat,61.5,916
Texas,Rockwall,Democrat,60.5,2760
Tennessee,Hamilton,Democrat,62.8,24009
Michigan,Alcona,Democrat,52.0,918
Texas,Rusk,Democrat,61.7,1390
South Dakota,Gregory,Democrat,53.2,343
West Virginia,Preston,Democrat,63.3,2676
Louisiana,Tangipahoa,Democrat,62.4,5923
Kentucky,Bell,Democrat,61.1,1145
Kentucky,Leslie,Democrat,62.2,141
Alabama,Calhoun,Democrat,61.8,6436
Texas,Kendall,Democrat,57.5,1132
Virginia,Radford,Democrat,78.8,1127
Pennsylvania,Bucks,Democrat,61.9,82987
Texas,Webb,Democrat,57.3,24736
Colorado,Prowers,Democrat,57.7,58
Virginia,Amelia,Democrat,60.7,850
Texas,Somervell,Democrat,58.4,129
Oklahoma,Harper,Democrat,56.7,219
Washington,Pierce,Democrat,63.3,2680
Virginia,Nelson,Democrat,57.5,1751
Virginia,Northumberland,Democrat,49.8,1083
North Carolina,Cleveland,Democrat,60.6,7984
Alabama,Cleburne,Democrat,58.3,293
Oklahoma,Ottawa,Democrat,57.0,2210
Tennessee,Hickman,Democrat,62.6,866
