"state","county","party","osoby_18_do_65_hr","liczba_glosow"
Texas,Archer,Democrat,60.2,163
Mississippi,Amite,Democrat,57.9,1339
Florida,Osceola,Democrat,62.2,23785
Colorado,Douglas,Democrat,61.8,4689
Missouri,Montgomery,Democrat,57.4,654
Indiana,Decatur,Democrat,59.8,1364
Texas,Sterling,Democrat,56.6,9
Mississippi,Neshoba,Democrat,57.2,1177
North Carolina,Edgecombe,Democrat,59.9,8469
Oregon,Wasco,Democrat,57.6,3054
Missouri,Lewis,Democrat,59.2,478
Michigan,Delta,Democrat,58.3,3114
Pennsylvania,Clarion,Democrat,63.1,3038
South Carolina,Chester,Democrat,60.3,2454
Missouri,Camden,Democrat,56.7,2807
Louisiana,St. Helena,Democrat,59.9,1593
South Dakota,Day,Democrat,53.6,546
Nevada,Nye,Democrat,54.1,159
Arizona,Greenlee,Democrat,60.3,822
Illinois,St. Clair,Democrat,62.1,36552
Kentucky,Bullitt,Democrat,63.3,6117
Colorado,Larimer,Democrat,65.6,9895
Alabama,Jackson,Democrat,59.7,1837
Missouri,Howell,Democrat,57.3,2042
North Carolina,Caswell,Democrat,61.4,2586
Wisconsin,Adams,Democrat,58.0,2874
Georgia,Monroe,Democrat,62.3,1550
Virginia,Greene,Democrat,60.0,1182
Texas,Wilbarger,Democrat,59.5,211
Texas,Glasscock,Democrat,59.7,8
New York,Westchester,Democrat,61.5,103354
Virginia,Fredericksburg,Democrat,69.6,2634
West Virginia,Pocahontas,Democrat,60.2,1350
New Jersey,Union,Democrat,63.1,59463
Montana,Gallatin,Democrat,68.3,14228
Iowa,Hardin,Democrat,57.8,699
Iowa,Audubon,Democrat,55.5,299
Pennsylvania,Fulton,Democrat,58.8,730
Oregon,Grant,Democrat,54.3,594
Georgia,Liberty,Democrat,63.8,3461
Georgia,Greene,Democrat,54.7,1245
Arkansas,Cleburne,Democrat,54.8,1074
Kentucky,Montgomery,Democrat,61.0,2611
Ohio,Carroll,Democrat,59.2,2060
Wyoming,Goshen,Democrat,59.4,5
Ohio,Shelby,Democrat,59.2,2394
California,Placer,Democrat,59.3,30086
Georgia,Towns,Democrat,54.0,578
Virginia,Pittsylvania,Democrat,60.1,3135
Mississippi,Chickasaw,Democrat,59.4,1661
Texas,Dickens,Democrat,60.2,24
Missouri,DeKalb,Democrat,67.5,549
Illinois,LaSalle,Democrat,60.3,12010
Georgia,Jones,Democrat,60.1,1956
Louisiana,Iberville,Democrat,64.7,4741
Alabama,Henry,Democrat,58.0,1333
Virginia,Williamsburg,Democrat,73.6,2356
Nebraska,Pierce,Democrat,57.1,30
South Dakota,Campbell,Democrat,58.7,46
Georgia,Harris,Democrat,61.3,1820
Michigan,Lenawee,Democrat,61.3,7711
Mississippi,Sunflower,Democrat,65.1,2631
Texas,Bastrop,Democrat,60.8,4839
California,Tulare,Democrat,58.0,14130
Florida,Holmes,Democrat,60.8,958
Georgia,Atkinson,Democrat,60.1,250
Idaho,Gem,Democrat,55.0,181
Iowa,Cherokee,Democrat,56.6,399
South Dakota,Kingsbury,Democrat,56.4,365
Virginia,Accomack,Democrat,57.8,2471
California,Kings,Democrat,63.4,6469
Texas,Hardeman,Democrat,56.6,159
Tennessee,Polk,Democrat,60.0,1314
Illinois,Vermilion,Democrat,58.6,5798
Arkansas,Fulton,Democrat,54.2,1174
Idaho,Bonner,Democrat,58.3,901
North Carolina,Davidson,Democrat,60.5,8367
Georgia,Brantley,Democrat,60.3,260
Alabama,Perry,Democrat,59.7,2964
Tennessee,Carroll,Democrat,58.7,1028
Tennessee,Bradley,Democrat,61.8,2946
Iowa,Humboldt,Democrat,56.8,299
Texas,Armstrong,Democrat,55.2,5
Nebraska,Kearney,Democrat,56.7,70
Nevada,Esmeralda,Democrat,57.0,22
Oklahoma,Wagoner,Democrat,60.0,5306
Georgia,Pierce,Democrat,59.0,323
Tennessee,Roane,Democrat,59.0,2370
Nebraska,Garden,Democrat,54.7,21
Michigan,Marquette,Democrat,65.3,8718
Oklahoma,Cherokee,Democrat,61.8,4920
Missouri,Knox,Democrat,54.9,228
Montana,Garfield,Democrat,54.5,26
Mississippi,Yalobusha,Democrat,59.0,1429
Michigan,St. Clair,Democrat,61.3,8830
Nebraska,Boyd,Democrat,50.3,23
Iowa,Lyon,Democrat,55.0,199
Illinois,Henderson,Democrat,58.1,634
Michigan,Arenac,Democrat,59.0,1258
Illinois,Pulaski,Democrat,57.9,443
Texas,Travis,Democrat,68.6,143203
Georgia,Glascock,Democrat,58.6,57
Oklahoma,Okfuskee,Democrat,59.5,1017
Montana,Missoula,Democrat,67.0,21386
Kentucky,Marion,Democrat,61.5,2145
South Carolina,Lancaster,Democrat,59.3,4545
Missouri,Perry,Democrat,59.4,873
Florida,Okaloosa,Democrat,62.7,8341
Montana,Ravalli,Democrat,56.6,3988
Wisconsin,Rusk,Democrat,56.8,1910
Mississippi,Smith,Democrat,58.4,859
Louisiana,LaSalle,Democrat,61.2,320
Mississippi,Issaquena,Democrat,71.3,195
Texas,Wise,Democrat,60.5,1307
West Virginia,Boone,Democrat,60.8,3654
Tennessee,Decatur,Democrat,57.3,461
Kentucky,Henry,Democrat,60.1,1739
California,Marin,Democrat,60.1,47086
New York,Delaware,Democrat,59.9,2730
Virginia,Greensville,Democrat,67.4,945
Oklahoma,Custer,Democrat,62.3,2023
Louisiana,Union,Democrat,59.0,1039
Georgia,Irwin,Democrat,59.5,400
Virginia,Highland,Democrat,57.3,174
Washington,Columbia,Democrat,54.4,13
South Dakota,Union,Democrat,59.1,686
Nebraska,Kimball,Democrat,55.2,23
Florida,Union,Democrat,68.4,808
Virginia,Virginia Beach,Democrat,64.9,35321
Pennsylvania,Sullivan,Democrat,60.8,607
Pennsylvania,Mercer,Democrat,59.9,10938
Pennsylvania,Clearfield,Democrat,62.5,6402
Virginia,Southampton,Democrat,63.0,1415
Illinois,Menard,Democrat,59.5,889
Arizona,Coconino,Democrat,67.1,12679
Texas,Comal,Democrat,59.5,5132
Pennsylvania,Armstrong,Democrat,60.2,5939
Texas,Carson,Democrat,57.7,80
Tennessee,Bledsoe,Democrat,64.4,613
Wisconsin,Brown,Democrat,62.6,39097
Texas,Camp,Democrat,56.6,618
New York,Oneida,Democrat,61.2,13326
Iowa,Dickinson,Democrat,56.7,699
Oklahoma,Cimarron,Democrat,53.5,90
Illinois,Crawford,Democrat,61.9,1192
Texas,Clay,Democrat,58.1,184
Ohio,Warren,Democrat,61.1,13024
Virginia,Fauquier,Democrat,61.2,5205
Kentucky,Martin,Democrat,66.1,295
Oklahoma,Beckham,Democrat,62.3,1288
Tennessee,Claiborne,Democrat,61.9,856
Illinois,Wayne,Democrat,57.7,637
South Carolina,Spartanburg,Democrat,61.2,15109
Pennsylvania,Erie,Democrat,62.4,37341
Iowa,Lee,Democrat,59.8,1699
Iowa,Page,Democrat,58.6,399
Montana,Teton,Democrat,55.0,833
Texas,Aransas,Democrat,54.8,760
New Jersey,Cape May,Democrat,58.3,7213
Utah,Box Elder,Democrat,55.0,371
Virginia,Floyd,Democrat,59.1,1331
Oklahoma,Okmulgee,Democrat,58.9,3749
Missouri,Oregon,Democrat,55.6,590
North Carolina,Beaufort,Democrat,57.2,4774
Texas,Andrews,Democrat,59.5,114
Georgia,Paulding,Democrat,62.7,6206
Missouri,Nodaway,Democrat,69.2,1447
Alabama,Morgan,Democrat,61.0,5242
Washington,Island,Democrat,58.6,316
Illinois,McLean,Democrat,66.5,20631
Maryland,Caroline,Democrat,60.6,2027
Kentucky,Ohio,Democrat,58.6,1721
South Dakota,Harding,Democrat,61.9,54
Pennsylvania,Northampton,Democrat,61.9,34428
Georgia,Thomas,Democrat,59.1,2604
Tennessee,Shelby,Democrat,62.9,82450
Alabama,Lawrence,Democrat,61.5,2475
New Mexico,Hidalgo,Democrat,57.6,838
Mississippi,Warren,Democrat,60.6,4075
Pennsylvania,Forest,Democrat,71.3,472
Texas,Lynn,Democrat,56.9,24
Montana,Meagher,Democrat,55.1,112
Mississippi,Tishomingo,Democrat,58.4,558
North Carolina,Brunswick,Democrat,55.8,11444
Kentucky,Bath,Democrat,58.7,1269
Colorado,La Plata,Democrat,66.4,2285
Nebraska,Thomas,Democrat,56.9,1
Illinois,Putnam,Democrat,60.0,954
Ohio,Licking,Democrat,61.1,12634
Louisiana,East Carroll,Democrat,61.8,555
Nebraska,Cuming,Democrat,54.0,60
Michigan,Branch,Democrat,59.7,2256
Texas,Borden,Democrat,57.8,5
Georgia,Madison,Democrat,61.3,1161
Texas,Lamar,Democrat,57.9,1311
Mississippi,Washington,Democrat,59.9,3391
Texas,Runnels,Democrat,55.4,135
Wisconsin,Sauk,Democrat,60.0,11721
Alabama,Bibb,Democrat,64.2,1188
South Carolina,Union,Democrat,59.7,2022
Tennessee,Humphreys,Democrat,59.0,1069
Tennessee,Clay,Democrat,55.8,373
Georgia,Floyd,Democrat,60.8,3911
Louisiana,Allen,Democrat,64.2,833
Arkansas,Madison,Democrat,59.0,2163
Virginia,Hopewell,Democrat,59.0,1514
Georgia,Grady,Democrat,58.3,1148
Montana,Lewis and Clark,Democrat,62.0,10814
Texas,Hall,Democrat,52.8,91
Texas,Guadalupe,Democrat,60.8,5848
Arkansas,Yell,Democrat,57.8,1155
Illinois,Douglas,Democrat,58.2,1126
Idaho,Canyon,Democrat,57.6,1590
South Carolina,Calhoun,Democrat,59.9,1777
Washington,Whitman,Democrat,74.8,137
Colorado,Rio Blanco,Democrat,61.7,26
Kentucky,Carter,Democrat,60.9,1851
Kentucky,Scott,Democrat,63.5,4899
Georgia,Cherokee,Democrat,62.1,9275
Missouri,Cooper,Democrat,61.8,1017
Ohio,Perry,Democrat,60.8,2535
Texas,Nacogdoches,Democrat,63.4,2424
Texas,Bowie,Democrat,60.7,3123
New Mexico,Socorro,Democrat,59.8,2074
Virginia,Mathews,Democrat,54.9,681
New Mexico,Curry,Democrat,61.5,1440
Nebraska,Platte,Democrat,58.2,236
North Carolina,Mecklenburg,Democrat,65.4,116489
Florida,Gilchrist,Democrat,60.2,1006
Georgia,Jeff Davis,Democrat,58.3,506
New York,Steuben,Democrat,60.3,4679
Alabama,Baldwin,Democrat,59.1,7984
Ohio,Geauga,Democrat,57.9,7687
Missouri,Miller,Democrat,58.4,912
Montana,Granite,Democrat,54.9,352
New York,Franklin,Democrat,65.2,3299
Louisiana,East Feliciana,Democrat,64.6,2194
Tennessee,Hancock,Democrat,60.3,146
Virginia,Buckingham,Democrat,64.3,1070
Montana,Toole,Democrat,64.5,236
Texas,Mills,Democrat,52.4,91
Illinois,Franklin,Democrat,58.4,4952
California,Butte,Democrat,62.8,23952
Tennessee,Weakley,Democrat,63.6,1312
Louisiana,West Carroll,Democrat,58.1,281
Iowa,Ringgold,Democrat,51.4,199
California,Sierra,Democrat,57.5,488
Oklahoma,McClain,Democrat,59.5,3022
Mississippi,Alcorn,Democrat,59.1,1111
Kentucky,Knox,Democrat,59.3,1024
Montana,Richland,Democrat,62.3,375
Louisiana,Grant,Democrat,64.5,614
Ohio,Harrison,Democrat,59.4,1492
Oregon,Deschutes,Democrat,60.4,23137
New Jersey,Hunterdon,Democrat,63.1,10420
Virginia,Lunenburg,Democrat,61.6,879
Oklahoma,Pushmataha,Democrat,56.2,984
New York,Fulton,Democrat,61.1,2266
Oklahoma,Tillman,Democrat,57.4,560
South Dakota,Hand,Democrat,54.5,203
South Carolina,York,Democrat,62.2,13953
Wisconsin,Iron,Democrat,55.9,980
Georgia,Bleckley,Democrat,61.8,468
South Dakota,Dewey,Democrat,54.9,523
Texas,Colorado,Democrat,56.4,624
Kentucky,Franklin,Democrat,62.8,10616
Arkansas,Pope,Democrat,62.8,2849
Arkansas,Scott,Democrat,57.7,457
North Carolina,New Hanover,Democrat,64.8,24516
Mississippi,Kemper,Democrat,62.0,1114
Michigan,Cass,Democrat,59.3,3340
Tennessee,Stewart,Democrat,59.6,771
Oregon,Crook,Democrat,56.4,1859
South Dakota,Buffalo,Democrat,52.3,181
Illinois,Lake,Democrat,62.4,94105
Illinois,Grundy,Democrat,61.2,5146
Colorado,Weld,Democrat,62.0,2690
Virginia,Prince Edward,Democrat,68.1,1786
Montana,Pondera,Democrat,55.9,490
Illinois,Gallatin,Democrat,57.3,1194
Colorado,Cheyenne,Democrat,56.8,9
Iowa,Black Hawk,Democrat,63.7,6899
Missouri,Stone,Democrat,55.0,1691
Oklahoma,Hughes,Democrat,59.6,1410
New York,Bronx,Democrat,63.3,136886
Tennessee,Marion,Democrat,60.6,1605
Ohio,Delaware,Democrat,60.9,16443
Florida,Pasco,Democrat,57.0,36253
Nebraska,Wheeler,Democrat,58.0,6
Colorado,Eagle,Democrat,68.7,967
Louisiana,West Feliciana,Democrat,70.9,1068
New York,Livingston,Democrat,65.5,4021
Texas,Titus,Democrat,57.6,650
Alabama,St. Clair,Democrat,61.7,2553
Nevada,Washoe,Democrat,63.0,1878
Kentucky,Metcalfe,Democrat,58.8,1088
South Dakota,Tripp,Democrat,56.0,283
Iowa,Winneshiek,Democrat,63.0,1100
New York,Saint Lawrence,Democrat,64.0,6967
South Dakota,Hughes,Democrat,61.1,1017
North Carolina,Moore,Democrat,55.0,7627
North Carolina,Columbus,Democrat,60.0,5630
Colorado,Jefferson,Democrat,64.4,13759
Alabama,Chilton,Democrat,60.6,1149
Michigan,Baraga,Democrat,61.9,641
Indiana,Parke,Democrat,61.3,931
West Virginia,Mineral,Democrat,60.1,1964
Mississippi,Yazoo,Democrat,63.4,2406
Oklahoma,McCurtain,Democrat,57.3,2026
Tennessee,Jefferson,Democrat,60.1,1327
Kentucky,Breathitt,Democrat,63.5,2839
Illinois,Pope,Democrat,63.1,285
Wyoming,Carbon,Democrat,62.3,7
Ohio,Darke,Democrat,57.2,2245
Tennessee,Scott,Democrat,59.9,453
South Dakota,Brule,Democrat,57.3,401
South Carolina,Darlington,Democrat,60.4,6067
Arkansas,Crawford,Democrat,59.6,2460
Illinois,Marion,Democrat,58.6,3290
Tennessee,Blount,Democrat,60.5,5098
South Carolina,Horry,Democrat,60.2,16743
Indiana,Franklin,Democrat,59.7,1219
Montana,Wibaux,Democrat,54.1,52
Iowa,Harrison,Democrat,58.3,499
Illinois,Ford,Democrat,57.4,726
Alabama,Limestone,Democrat,62.8,4319
Wyoming,Albany,Democrat,73.7,33
Georgia,Colquitt,Democrat,59.2,1337
Virginia,Bath,Democrat,59.0,234
California,Shasta,Democrat,59.2,12015
North Carolina,Craven,Democrat,60.4,8371
West Virginia,Monroe,Democrat,56.7,1421
Nebraska,Washington,Democrat,60.2,276
Missouri,Vernon,Democrat,57.8,1008
Indiana,Kosciusko,Democrat,60.3,3493
Michigan,Van Buren,Democrat,59.8,6140
Montana,Fallon,Democrat,58.4,55
Illinois,Pike,Democrat,58.2,946
Texas,Bee,Democrat,67.3,1452
Louisiana,Lafayette,Democrat,64.8,9443
Georgia,Spalding,Democrat,59.4,3949
Texas,Ochiltree,Democrat,58.2,64
Indiana,Marion,Democrat,63.8,118448
South Dakota,Todd,Democrat,52.3,932
Missouri,Jefferson,Democrat,62.7,21467
Maryland,Charles,Democrat,64.1,21378
Oklahoma,Muskogee,Democrat,59.5,6896
Alabama,Clarke,Democrat,59.4,3361
Indiana,Jackson,Democrat,60.5,2847
Arkansas,Miller,Democrat,60.7,1656
North Carolina,Stokes,Democrat,60.9,2752
Utah,Iron,Democrat,59.4,781
Montana,Madison,Democrat,58.0,671
Utah,Rich,Democrat,52.6,0
Idaho,Bingham,Democrat,55.4,236
Texas,Swisher,Democrat,56.5,219
North Carolina,Henderson,Democrat,55.8,9940
Washington,Snohomish,Democrat,64.7,2842
Arkansas,Pulaski,Democrat,62.8,45323
Indiana,Dearborn,Democrat,61.1,2634
Texas,Kenedy,Democrat,59.2,95
West Virginia,Webster,Democrat,58.6,1221
Georgia,Montgomery,Democrat,62.3,359
Kentucky,Butler,Democrat,59.7,434
Indiana,St. Joseph,Democrat,61.7,32869
Missouri,Washington,Democrat,61.5,1418
Oklahoma,Roger Mills,Democrat,56.0,368
Ohio,Noble,Democrat,58.0,926
Kentucky,Magoffin,Democrat,62.3,1137
Tennessee,Lauderdale,Democrat,63.0,1229
North Carolina,Jones,Democrat,59.3,1411
Nebraska,Franklin,Democrat,55.1,20
South Dakota,Faulk,Democrat,54.2,164
New York,Staten Island,Democrat,63.2,30467
South Dakota,Ziebach,Democrat,57.6,224
Illinois,Union,Democrat,59.1,2073
Oklahoma,Logan,Democrat,61.3,2959
Mississippi,Marion,Democrat,59.2,1741
Pennsylvania,Delaware,Democrat,62.6,74616
Texas,Matagorda,Democrat,58.7,1432
West Virginia,Hancock,Democrat,60.0,3822
Arkansas,Cross,Democrat,58.4,1008
Kentucky,Todd,Democrat,57.2,840
Washington,Lewis,Democrat,58.3,202
Alabama,Fayette,Democrat,58.7,808
South Dakota,Hutchinson,Democrat,52.7,276
Indiana,Delaware,Democrat,65.1,13865
Nebraska,Richardson,Democrat,55.4,64
Texas,Stephens,Democrat,58.6,80
Indiana,Whitley,Democrat,60.6,2026
Arkansas,Sharp,Democrat,53.9,902
Missouri,Crawford,Democrat,58.7,1234
New Jersey,Bergen,Democrat,62.3,89401
Texas,Kerr,Democrat,53.8,1723
Virginia,Nottoway,Democrat,61.3,1053
West Virginia,Lewis,Democrat,60.1,1941
Illinois,Cumberland,Democrat,59.6,881
Georgia,Dougherty,Democrat,61.5,10326
Tennessee,Anderson,Democrat,60.1,4173
Kentucky,Caldwell,Democrat,58.4,1436
California,Contra Costa,Democrat,62.4,116718
Louisiana,Washington,Democrat,59.6,2176
Tennessee,Loudon,Democrat,55.7,1664
Texas,San Augustine,Democrat,54.3,428
Georgia,Baldwin,Democrat,66.5,3796
Colorado,Park,Democrat,67.1,349
Michigan,Genesee,Democrat,60.9,59401
Ohio,Champaign,Democrat,60.0,2325
North Carolina,Camden,Democrat,61.2,766
New York,Sullivan,Democrat,61.6,4759
Georgia,Troup,Democrat,61.0,4207
Kentucky,Lewis,Democrat,60.5,362
Nevada,Eureka,Democrat,62.0,22
Kentucky,Clark,Democrat,60.9,3698
Iowa,Ida,Democrat,54.6,199
California,Alpine,Democrat,58.9,239
Kentucky,Pulaski,Democrat,59.6,2317
Mississippi,Monroe,Democrat,59.4,2224
New York,Schenectady,Democrat,62.2,13008
North Carolina,Watauga,Democrat,72.6,8325
Missouri,Gentry,Democrat,55.7,347
North Carolina,Greene,Democrat,63.7,2465
South Dakota,Stanley,Democrat,59.0,197
Mississippi,Noxubee,Democrat,59.0,1531
Missouri,Barton,Democrat,56.4,419
Tennessee,Crockett,Democrat,58.1,527
Tennessee,Overton,Democrat,58.3,1362
Ohio,Allen,Democrat,60.8,6400
Ohio,Huron,Democrat,59.8,3943
Virginia,Powhatan,Democrat,65.1,1671
Illinois,Moultrie,Democrat,56.6,1028
Nebraska,Cedar,Democrat,54.2,43
Georgia,Crisp,Democrat,59.1,901
South Dakota,McPherson,Democrat,49.6,93
North Carolina,Madison,Democrat,61.1,3245
Wisconsin,Grant,Democrat,63.4,7520
Virginia,Danville,Democrat,58.0,3331
West Virginia,Logan,Democrat,62.1,4692
South Carolina,Hampton,Democrat,61.7,2171
Montana,Treasure,Democrat,55.4,77
Iowa,Mahaska,Democrat,59.4,699
Wisconsin,Florence,Democrat,59.2,468
South Dakota,Walworth,Democrat,53.1,237
Alabama,Sumter,Democrat,64.0,3403
Washington,Okanogan,Democrat,56.8,177
North Carolina,Wayne,Democrat,61.4,11110
West Virginia,Harrison,Democrat,60.6,9554
Texas,Goliad,Democrat,58.0,540
Missouri,Gasconade,Democrat,57.2,908
New Jersey,Camden,Democrat,62.5,70103
Tennessee,Sumner,Democrat,61.1,6487
Wisconsin,Door,Democrat,56.8,6352
Ohio,Union,Democrat,63.3,3081
Wisconsin,Waushara,Democrat,58.8,2683
Kentucky,Robertson,Democrat,58.2,272
Arkansas,Lincoln,Democrat,68.7,751
Nebraska,Cass,Democrat,59.3,283
Colorado,Alamosa,Democrat,63.5,257
Georgia,Macon,Democrat,65.2,1082
Pennsylvania,Berks,Democrat,61.2,41988
Wisconsin,Washburn,Democrat,56.6,2476
Indiana,Harrison,Democrat,61.4,3514
Tennessee,Hamblen,Democrat,59.0,1633
Texas,Brown,Democrat,57.8,531
Kentucky,Ballard,Democrat,58.6,1064
Idaho,Minidoka,Democrat,55.6,77
Pennsylvania,Franklin,Democrat,58.9,8973
Colorado,Grand,Democrat,67.7,281
Michigan,Eaton,Democrat,61.9,12567
Georgia,Bibb,Democrat,60.8,15576
Pennsylvania,Lycoming,Democrat,61.7,8520
Idaho,Fremont,Democrat,55.6,29
Nebraska,Dakota,Democrat,58.3,175
Arkansas,Garland,Democrat,57.4,5836
Kentucky,Calloway,Democrat,66.0,3699
Georgia,Upson,Democrat,59.8,1516
Georgia,Douglas,Democrat,62.8,12514
Texas,Gregg,Democrat,60.0,4317
Ohio,Lorain,Democrat,60.9,37298
Tennessee,Henry,Democrat,57.4,1391
Illinois,Champaign,Democrat,69.7,31123
Tennessee,Putnam,Democrat,62.5,3608
Hawaii,Honolulu,Democrat,62.7,18144
Missouri,Mississippi,Democrat,61.4,695
Indiana,Allen,Democrat,60.6,31467
Arizona,Navajo,Democrat,56.2,7036
Virginia,Martinsville,Democrat,56.3,1098
Virginia,Petersburg,Democrat,62.6,4786
North Carolina,Carteret,Democrat,59.8,5640
Delaware,New Castle,Democrat,64.0,64318
Iowa,Fayette,Democrat,58.4,998
Kentucky,Perry,Democrat,63.1,2505
Michigan,Roscommon,Democrat,54.9,2350
Texas,Houston,Democrat,59.7,565
Washington,Pend Oreille,Democrat,56.9,45
North Carolina,Chatham,Democrat,56.1,12916
Indiana,Johnson,Democrat,60.8,9166
Illinois,Carroll,Democrat,57.3,1265
New York,Niagara,Democrat,62.3,16610
Nebraska,Hooker,Democrat,50.7,7
Tennessee,Haywood,Democrat,60.2,1340
Indiana,Porter,Democrat,62.8,22810
Ohio,Lawrence,Democrat,60.5,4648
Tennessee,Fayette,Democrat,60.4,2365
South Dakota,Bon Homme,Democrat,60.6,422
Virginia,Brunswick,Democrat,63.1,1506
Washington,Skagit,Democrat,58.8,438
Iowa,Calhoun,Democrat,57.1,400
Georgia,Barrow,Democrat,61.4,2336
Kentucky,Bracken,Democrat,60.3,675
Illinois,Boone,Democrat,59.9,4730
Iowa,Greene,Democrat,55.7,399
North Carolina,Pamlico,Democrat,57.5,1598
South Carolina,Bamberg,Democrat,61.6,1919
California,Fresno,Democrat,59.9,54567
Oklahoma,Creek,Democrat,58.9,5087
Wisconsin,St. Croix,Democrat,61.9,10562
Utah,San Juan,Democrat,55.9,125
Ohio,Mahoning,Democrat,60.4,35066
Maryland,Worcester,Democrat,56.8,4944
South Carolina,McCormick,Democrat,57.4,1135
Nebraska,Madison,Democrat,59.7,329
Texas,Hunt,Democrat,60.7,2175
Oregon,Yamhill,Democrat,61.1,11767
Kentucky,Greenup,Democrat,59.0,3172
Kentucky,Mason,Democrat,59.6,1502
Mississippi,Marshall,Democrat,62.9,3747
Florida,Baker,Democrat,62.3,1459
Texas,Edwards,Democrat,53.8,69
Missouri,Ripley,Democrat,57.7,509
Tennessee,Coffee,Democrat,59.2,2334
Wisconsin,Fond du Lac,Democrat,61.5,12889
Georgia,Hall,Democrat,59.9,5727
Colorado,Saguache,Democrat,58.6,266
Georgia,Cobb,Democrat,64.8,61667
Utah,Duchesne,Democrat,54.8,124
Kentucky,Fulton,Democrat,59.6,560
Colorado,Adams,Democrat,62.7,5339
Georgia,Morgan,Democrat,58.8,1169
Florida,St. Lucie,Democrat,56.6,25645
Kentucky,Oldham,Democrat,62.1,5045
Nebraska,Morrill,Democrat,57.4,31
Pennsylvania,Lebanon,Democrat,58.7,9011
Indiana,Clark,Democrat,62.7,11497
Arkansas,Washington,Democrat,64.0,17617
Tennessee,Warren,Democrat,59.6,1989
Mississippi,Jefferson,Democrat,62.9,1725
Pennsylvania,Greene,Democrat,63.8,4038
Illinois,Williamson,Democrat,60.5,6880
California,San Joaquin,Democrat,60.4,41447
Indiana,Miami,Democrat,62.5,1707
Wyoming,Lincoln,Democrat,58.2,6
Ohio,Hardin,Democrat,62.0,1440
Utah,Wayne,Democrat,54.1,100
North Carolina,Nash,Democrat,60.7,12218
Florida,Glades,Democrat,56.4,700
Georgia,Oconee,Democrat,59.7,2321
Virginia,Campbell,Democrat,61.8,1963
Illinois,Shelby,Democrat,58.0,1722
Mississippi,Webster,Democrat,59.2,476
Wisconsin,Dodge,Democrat,63.0,10744
Florida,Orange,Democrat,66.5,103293
Illinois,Jersey,Democrat,60.8,1922
Oregon,Gilliam,Democrat,56.1,201
Virginia,Surry,Democrat,62.7,986
Texas,Grayson,Democrat,59.2,3627
Delaware,Kent,Democrat,60.8,12318
Nebraska,Frontier,Democrat,58.3,14
Georgia,Calhoun,Democrat,68.5,560
West Virginia,Brooke,Democrat,60.7,3455
Mississippi,Claiborne,Democrat,63.8,1552
Mississippi,Tippah,Democrat,59.6,747
Texas,Bosque,Democrat,54.3,552
Virginia,Richmond City,Democrat,70.2,35907
Tennessee,Cocke,Democrat,59.9,824
Utah,Washington,Democrat,52.1,2169
