"state","county","party","weterani_hr","liczba_glosow"
Ohio,Allen,Democrat,8285,6400
Louisiana,Ascension,Democrat,6653,5605
Iowa,Sioux,Democrat,1830,399
Georgia,Hall,Democrat,10555,5727
South Dakota,Grant,Democrat,586,947
Missouri,New Madrid,Democrat,1681,1051
Ohio,Jefferson,Democrat,6720,7681
Kentucky,Logan,Democrat,1880,2208
Missouri,Worth,Democrat,221,135
Kentucky,Washington,Democrat,701,1183
Maryland,Talbot,Democrat,4164,4022
New York,Schoharie,Democrat,2798,1710
Ohio,Belmont,Democrat,6205,7245
Iowa,Polk,Democrat,26762,22800
Montana,Judith Basin,Democrat,242,138
Arkansas,Pulaski,Democrat,31984,45323
Michigan,Alpena,Democrat,2800,2449
Ohio,Scioto,Democrat,6446,6402
Missouri,Reynolds,Democrat,669,458
Illinois,Winnebago,Democrat,21278,31780
Texas,Wilbarger,Democrat,896,211
Oregon,Tillamook,Democrat,2778,4106
Oklahoma,Nowata,Democrat,928,936
New Mexico,Roosevelt,Democrat,1180,673
Tennessee,Robertson,Democrat,4758,2745
Virginia,Greensville,Democrat,1002,945
Oklahoma,Blaine,Democrat,809,748
Mississippi,Tunica,Democrat,522,1124
Georgia,Randolph,Democrat,576,761
North Carolina,Davidson,Democrat,11671,8367
Tennessee,Pickett,Democrat,528,278
Kentucky,Owen,Democrat,678,1173
Mississippi,Holmes,Democrat,574,3532
Mississippi,Hancock,Democrat,4397,1424
Iowa,Story,Democrat,4787,4599
Texas,Mills,Democrat,411,91
Ohio,Williams,Democrat,3130,2163
West Virginia,Jefferson,Democrat,4753,6151
Missouri,Ozark,Democrat,1374,510
Arizona,Santa Cruz,Democrat,2223,3701
Ohio,Ashland,Democrat,4136,2916
Georgia,Madison,Democrat,1787,1161
New Mexico,Sandoval,Democrat,14229,14406
Maryland,Carroll,Democrat,13155,13202
Colorado,Rio Grande,Democrat,1000,106
Kentucky,Pike,Democrat,3083,7183
Arkansas,White,Democrat,6022,2842
Missouri,Chariton,Democrat,646,595
Colorado,Grand,Democrat,1467,281
New Mexico,Cibola,Democrat,1858,3080
Missouri,Carter,Democrat,572,280
Texas,Anderson,Democrat,4592,1293
Georgia,Spalding,Democrat,5072,3949
Georgia,Echols,Democrat,292,68
South Dakota,Pennington,Democrat,11444,7380
Mississippi,Oktibbeha,Democrat,2216,3128
Texas,Calhoun,Democrat,1706,1449
Georgia,Terrell,Democrat,668,909
New York,Clinton,Democrat,7457,5851
New York,Columbia,Democrat,5317,5783
Ohio,Richland,Democrat,10676,9305
Idaho,Fremont,Democrat,953,29
Louisiana,Calcasieu,Democrat,14352,9219
West Virginia,Logan,Democrat,2908,4692
Kentucky,Clay,Democrat,843,342
Texas,Runnels,Democrat,877,135
South Dakota,Buffalo,Democrat,79,181
Oregon,Benton,Democrat,5561,18915
Texas,De Witt,Democrat,1742,406
Florida,Bradford,Democrat,2741,1964
Kentucky,Lincoln,Democrat,1636,1521
Alabama,Choctaw,Democrat,938,2045
North Carolina,Wilkes,Democrat,4760,3890
Virginia,Smyth,Democrat,2387,887
Illinois,DuPage,Democrat,42246,124262
Oklahoma,Murray,Democrat,1346,1453
Georgia,Long,Democrat,1658,372
Arkansas,Arkansas,Democrat,1389,856
Kentucky,Trimble,Democrat,582,957
Iowa,Cherokee,Democrat,1163,399
Florida,DeSoto,Democrat,2802,1713
