"state","county","party","weterani_hr","liczba_glosow"
Iowa,Wayne,Democrat,569,200
South Dakota,Douglas,Democrat,276,85
Virginia,Mecklenburg,Democrat,2884,1966
Georgia,Wayne,Democrat,2611,936
Texas,Archer,Democrat,863,163
Idaho,Boise,Democrat,758,112
Louisiana,Richland,Democrat,1003,831
California,San Luis Obispo,Democrat,21244,32980
Tennessee,Stewart,Democrat,1650,771
West Virginia,Mason,Democrat,2950,2990
Missouri,Grundy,Democrat,819,481
Louisiana,West Baton Rouge,Democrat,1365,2767
Texas,Madison,Democrat,874,296
Missouri,Dent,Democrat,1554,776
Indiana,Crawford,Democrat,814,1300
Ohio,Athens,Democrat,3614,9196
Montana,Valley,Democrat,718,681
Arkansas,Franklin,Democrat,1643,961
Mississippi,Clarke,Democrat,1359,1195
Mississippi,Franklin,Democrat,589,821
Tennessee,McNairy,Democrat,2212,948
South Dakota,Faulk,Democrat,181,164
Arkansas,Union,Democrat,3090,4217
Tennessee,Claiborne,Democrat,2138,856
Illinois,Randolph,Democrat,3052,2855
Wisconsin,Burnett,Democrat,1948,1850
Virginia,Lee,Democrat,1823,460
West Virginia,Gilmer,Democrat,746,986
South Carolina,Beaufort,Democrat,18885,13512
Iowa,Hamilton,Democrat,1323,599
Illinois,Morgan,Democrat,2997,2195
Michigan,Calhoun,Democrat,11349,11040
Oklahoma,Harper,Democrat,241,219
Virginia,Rappahannock,Democrat,697,827
Illinois,Menard,Democrat,1135,889
Montana,Liberty,Democrat,143,152
Tennessee,Polk,Democrat,1165,1314
South Carolina,Greenville,Democrat,32427,30772
Indiana,Knox,Democrat,2712,3516
Washington,Island,Democrat,12624,316
Georgia,Wilcox,Democrat,609,343
Mississippi,Union,Democrat,1681,816
Idaho,Twin Falls,Democrat,5629,723
Missouri,Cape Girardeau,Democrat,5919,4411
Indiana,Harrison,Democrat,3337,3514
Illinois,Will,Democrat,34224,87956
Montana,Mineral,Democrat,639,386
Virginia,Wythe,Democrat,2201,951
Nebraska,Saline,Democrat,912,198
California,Modoc,Democrat,996,520
Virginia,Alleghany,Democrat,1435,679
Kentucky,Grant,Democrat,1732,1309
Virginia,Franklin,Democrat,4703,2654
Arizona,Cochise,Democrat,18795,7919
Texas,Moore,Democrat,582,230
North Carolina,Pamlico,Democrat,1459,1598
Texas,Medina,Democrat,4392,1505
Colorado,Ouray,Democrat,551,242
Virginia,Radford,Democrat,918,1127
Kentucky,Wayne,Democrat,1247,858
Georgia,Glynn,Democrat,7954,4147
Texas,Winkler,Democrat,289,41
Indiana,Jefferson,Democrat,2668,3113
Texas,Washington,Democrat,2401,1056
Ohio,Ross,Democrat,7168,6177
Pennsylvania,Bucks,Democrat,40571,82987
Utah,Morgan,Democrat,725,143
Georgia,McDuffie,Democrat,1112,1497
Texas,Sutton,Democrat,188,37
Ohio,Geauga,Democrat,6391,7687
Idaho,Cassia,Democrat,1340,93
Mississippi,Itawamba,Democrat,1526,528
Nebraska,Box Butte,Democrat,998,120
New Mexico,Chaves,Democrat,4801,2188
Colorado,Crowley,Democrat,453,31
South Carolina,Chesterfield,Democrat,3177,2655
Illinois,Cass,Democrat,982,1043
Idaho,Kootenai,Democrat,13296,2054
Kentucky,Hickman,Democrat,372,509
Arkansas,Fulton,Democrat,1358,1174
Arizona,Yuma,Democrat,15380,6514
Nebraska,McPherson,Democrat,32,4
Maryland,Frederick,Democrat,17508,24790
Kentucky,Harlan,Democrat,2176,1543
Nebraska,Brown,Democrat,343,13
Texas,Coleman,Democrat,799,124
Texas,Victoria,Democrat,6105,3323
Georgia,Jefferson,Democrat,1109,1708
Indiana,Dearborn,Democrat,3727,2634
Indiana,Washington,Democrat,2041,1931
Texas,Franklin,Democrat,995,236
Iowa,Pottawattamie,Democrat,7373,3099
Georgia,Lanier,Democrat,784,303
Michigan,Crawford,Democrat,1611,1125
Texas,Stonewall,Democrat,122,95
Indiana,Decatur,Democrat,1959,1364
Georgia,Cobb,Democrat,44559,61667
Kentucky,Union,Democrat,1253,1778
Michigan,Montmorency,Democrat,1323,775
Virginia,Galax,Democrat,559,221
Illinois,Clark,Democrat,1459,1224
Arkansas,Garland,Democrat,10575,5836
Colorado,Logan,Democrat,1999,147
Missouri,Knox,Democrat,364,228
Wisconsin,Washburn,Democrat,1687,2476
Florida,Clay,Democrat,26014,9043
Colorado,Pueblo,Democrat,15351,2400
Missouri,Jackson,Democrat,48827,91683
South Dakota,Hutchinson,Democrat,500,276
Wisconsin,Chippewa,Democrat,5444,9135
North Carolina,Robeson,Democrat,7453,13663
Texas,Jones,Democrat,1808,267
Nebraska,Cherry,Democrat,524,31
New York,Warren,Democrat,5617,4276
Indiana,Sullivan,Democrat,1449,2512
Indiana,Daviess,Democrat,1942,1240
Florida,Manatee,Democrat,33883,28281
Texas,Hockley,Democrat,1163,299
North Carolina,Swain,Democrat,1096,1497
Texas,Nueces,Democrat,28867,21834
Louisiana,Terrebonne,Democrat,6730,3670
Texas,Somervell,Democrat,774,129
Oregon,Columbia,Democrat,5505,7266
Ohio,Harrison,Democrat,1581,1492
Pennsylvania,Tioga,Democrat,4129,2255
Oregon,Jackson,Democrat,22618,28595
Indiana,Tipton,Democrat,1525,1043
Missouri,Howard,Democrat,842,821
Oklahoma,Woods,Democrat,728,580
Georgia,McIntosh,Democrat,1468,1012
Tennessee,Humphreys,Democrat,1525,1069
Arkansas,Hot Spring,Democrat,3202,2292
Maryland,Anne Arundel,Democrat,54387,59787
Ohio,Medina,Democrat,13084,14801
Louisiana,St. John the Baptist,Democrat,2525,4382
Oregon,Crook,Democrat,2788,1859
Illinois,Jasper,Democrat,733,762
Missouri,Christian,Democrat,6611,5219
Indiana,St. Joseph,Democrat,18001,32869
North Carolina,Scotland,Democrat,2648,3813
Louisiana,Cameron,Democrat,489,255
Missouri,Washington,Democrat,2288,1418
Georgia,Gwinnett,Democrat,39586,56348
Arkansas,Poinsett,Democrat,1835,945
Iowa,Butler,Democrat,1007,600
Virginia,Sussex,Democrat,1114,1056
Colorado,Cheyenne,Democrat,137,9
Mississippi,Smith,Democrat,948,859
Arkansas,Johnson,Democrat,1887,1636
Illinois,Richland,Democrat,1469,991
Ohio,Fulton,Democrat,2755,3008
Nebraska,Antelope,Democrat,587,50
Ohio,Madison,Democrat,3432,2148
Iowa,Van Buren,Democrat,668,199
Wisconsin,Marathon,Democrat,9868,19702
Alabama,Madison,Democrat,34203,28781
Texas,Ector,Democrat,7071,2793
Nebraska,Thurston,Democrat,400,51
Indiana,Steuben,Democrat,2665,2101
West Virginia,Greenbrier,Democrat,3878,4758
Montana,Toole,Democrat,722,236
Florida,Taylor,Democrat,2310,1890
Virginia,Prince William,Democrat,40034,41135
North Carolina,Pender,Democrat,4856,4760
Alabama,Wilcox,Democrat,462,3747
Nebraska,Lancaster,Democrat,19683,10472
New York,Wayne,Democrat,6662,4178
Texas,Taylor,Democrat,12003,3210
Washington,Stevens,Democrat,5529,124
Alabama,Montgomery,Democrat,20008,32916
South Dakota,Minnehaha,Democrat,11855,11308
Alabama,Cleburne,Democrat,989,293
Wisconsin,Polk,Democrat,3641,4647
Louisiana,Tangipahoa,Democrat,7736,5923
Missouri,Stone,Democrat,3752,1691
Montana,Cascade,Democrat,10265,8514
North Carolina,Buncombe,Democrat,20486,48517
North Carolina,Currituck,Democrat,2698,1490
Mississippi,Issaquena,Democrat,85,195
Louisiana,Jefferson,Democrat,27133,24605
California,San Mateo,Democrat,32332,77361
Louisiana,Caddo,Democrat,19567,20179
Nebraska,Dixon,Democrat,477,61
Georgia,Hancock,Democrat,564,1257
North Carolina,Harnett,Democrat,11155,7766
Texas,Gaines,Democrat,472,150
Arizona,Pima,Democrat,92409,96545
Georgia,Mitchell,Democrat,1508,1541
Georgia,Brooks,Democrat,1533,912
New York,Manhattan,Democrat,41775,267723
New Mexico,Guadalupe,Democrat,403,729
Indiana,Allen,Democrat,23407,31467
Arkansas,Dallas,Democrat,444,1054
Wyoming,Johnson,Democrat,919,2
Florida,Dixie,Democrat,2085,868
Montana,Sanders,Democrat,1537,992
Texas,Nacogdoches,Democrat,3412,2424
Tennessee,Crockett,Democrat,849,527
Nevada,Esmeralda,Democrat,108,22
South Dakota,Gregory,Democrat,427,343
Oklahoma,Garfield,Democrat,5419,3174
Indiana,Floyd,Democrat,6110,8692
Mississippi,Tallahatchie,Democrat,640,1507
Georgia,Gordon,Democrat,3094,1329
Virginia,Bath,Democrat,396,234
Nebraska,Keith,Democrat,738,77
Colorado,Huerfano,Democrat,832,243
Texas,Midland,Democrat,8820,2403
Virginia,Lunenburg,Democrat,1184,879
Wisconsin,Rusk,Democrat,1324,1910
Georgia,Wilkinson,Democrat,613,987
Idaho,Custer,Democrat,547,43
Arkansas,Cleburne,Democrat,3158,1074
Louisiana,Ouachita,Democrat,10139,10798
Colorado,El Paso,Democrat,81330,8063
Arkansas,Pike,Democrat,862,538
Texas,Cherokee,Democrat,3552,1312
Maryland,Kent,Democrat,1872,2478
Missouri,Stoddard,Democrat,2906,1163
Nebraska,Madison,Democrat,2387,329
Colorado,Conejos,Democrat,502,123
Ohio,Champaign,Democrat,3404,2325
Wisconsin,Richland,Democrat,1366,3060
Texas,Brown,Democrat,3439,531
Nebraska,Saunders,Democrat,1883,285
Louisiana,Grant,Democrat,1748,614
Nebraska,Richardson,Democrat,825,64
Virginia,Appomattox,Democrat,1481,663
Missouri,Scott,Democrat,3010,1901
West Virginia,Wetzel,Democrat,1486,2589
Mississippi,Walthall,Democrat,701,1243
Georgia,Quitman,Democrat,223,208
Oregon,Baker,Democrat,2096,1236
Florida,Orange,Democrat,66314,103293
Pennsylvania,Butler,Democrat,15172,16135
Washington,Wahkiakum,Democrat,422,19
Illinois,Shelby,Democrat,2239,1722
Missouri,Pike,Democrat,1843,1136
Ohio,Greene,Democrat,17876,13431
Missouri,Shelby,Democrat,499,440
Georgia,Marion,Democrat,970,551
Texas,Hill,Democrat,2994,1015
California,Amador,Democrat,4631,3702
Idaho,Payette,Democrat,2002,137
Oklahoma,Atoka,Democrat,1145,1093
Louisiana,St. Martin,Democrat,3009,2559
Wyoming,Hot Springs,Democrat,664,2
Virginia,Prince Edward,Democrat,1452,1786
Kentucky,Lyon,Democrat,913,1058
Texas,San Saba,Democrat,457,85
Missouri,Ripley,Democrat,1317,509
Arkansas,Nevada,Democrat,762,953
Alabama,Calhoun,Democrat,11385,6436
Iowa,Crawford,Democrat,1161,499
Georgia,Decatur,Democrat,1577,1649
Texas,Eastland,Democrat,1657,293
Arkansas,Chicot,Democrat,905,1617
New York,Delaware,Democrat,4079,2730
North Carolina,Sampson,Democrat,4359,5344
Pennsylvania,Northampton,Democrat,22090,34428
Oklahoma,Ellis,Democrat,322,263
Wisconsin,Menominee,Democrat,342,559
Idaho,Nez Perce,Democrat,4190,538
Texas,Lipscomb,Democrat,235,33
Nebraska,Hitchcock,Democrat,310,10
North Carolina,Graham,Democrat,639,616
West Virginia,Pleasants,Democrat,674,874
Georgia,Jeff Davis,Democrat,773,506
Pennsylvania,Clarion,Democrat,3011,3038
Nebraska,Cheyenne,Democrat,869,72
Oklahoma,Okmulgee,Democrat,3379,3749
Mississippi,Choctaw,Democrat,632,610
Ohio,Lake,Democrat,18485,22857
North Carolina,Johnston,Democrat,12752,14215
South Carolina,Orangeburg,Democrat,6482,13279
Texas,Jim Hogg,Democrat,304,1777
Georgia,Ben Hill,Democrat,1133,958
Kentucky,Lee,Democrat,397,423
Michigan,Chippewa,Democrat,3760,3019
Oregon,Lane,Democrat,31009,68655
Iowa,Palo Alto,Democrat,782,399
Wyoming,Laramie,Democrat,12064,51
Texas,Jasper,Democrat,3311,1202
Virginia,Roanoke,Democrat,8535,6083
Alabama,Autauga,Democrat,5922,2931
California,San Diego,Democrat,234211,251711
Alabama,Lowndes,Democrat,626,4112
Arkansas,Lee,Democrat,485,1040
Nebraska,Harlan,Democrat,330,25
Wisconsin,Green,Democrat,2457,7125
Georgia,Liberty,Democrat,10207,3461
Louisiana,Claiborne,Democrat,1151,926
South Dakota,Aurora,Democrat,224,282
Iowa,Sac,Democrat,943,300
Arkansas,Prairie,Democrat,824,943
Indiana,Henry,Democrat,4313,3928
Louisiana,Bossier,Democrat,12194,4106
Virginia,Henrico,Democrat,22033,40075
Idaho,Gem,Democrat,1656,181
Colorado,Delta,Democrat,3493,594
Virginia,Botetourt,Democrat,3169,1583
New Mexico,Eddy,Democrat,4448,2906
Texas,Jack,Democrat,755,133
Pennsylvania,Perry,Democrat,4083,3077
Kentucky,Knott,Democrat,755,1697
Iowa,Lucas,Democrat,656,300
Mississippi,Rankin,Democrat,9765,6045
Georgia,Lowndes,Democrat,9100,5682
Missouri,Andrew,Democrat,1496,1226
Texas,Tarrant,Democrat,118263,103097
Oklahoma,Sequoyah,Democrat,3147,3231
Arizona,Maricopa,Democrat,271518,213930
South Carolina,Lee,Democrat,1131,2495
North Carolina,Wake,Democrat,54713,143307
Montana,Treasure,Democrat,80,77
South Dakota,Hughes,Democrat,1316,1017
Illinois,Tazewell,Democrat,10732,13021
Iowa,Cass,Democrat,1155,500
Pennsylvania,Wyoming,Democrat,2471,2291
Tennessee,Henderson,Democrat,2093,634
Texas,Kenedy,Democrat,30,95
Ohio,Gallia,Democrat,2339,1911
California,Lake,Democrat,6777,5112
Texas,Caldwell,Democrat,2646,2488
Illinois,Douglas,Democrat,1403,1126
Mississippi,Jackson,Democrat,14074,6259
Georgia,Elbert,Democrat,1546,1062
Indiana,Lake,Democrat,32821,75984
Pennsylvania,Franklin,Democrat,13036,8973
California,San Francisco,Democrat,29478,152261
Michigan,Iron,Democrat,1476,1073
Missouri,Polk,Democrat,2450,1595
Wisconsin,Bayfield,Democrat,1702,4088
Nebraska,Chase,Democrat,274,26
Idaho,Blaine,Democrat,1347,788
South Dakota,Perkins,Democrat,253,136
Georgia,Crisp,Democrat,1664,901
Oregon,Umatilla,Democrat,6356,4292
Kentucky,Powell,Democrat,656,1367
Pennsylvania,Lycoming,Democrat,10578,8520
New York,Brooklyn,Democrat,50234,290563
Texas,Fort Bend,Democrat,26189,39013
Colorado,Chaffee,Democrat,2264,614
Oregon,Malheur,Democrat,2347,1178
Mississippi,Lauderdale,Democrat,6565,3925
Illinois,Jefferson,Democrat,3407,3452
California,Stanislaus,Democrat,25311,27395
Virginia,Goochland,Democrat,2026,2190
Florida,Okaloosa,Democrat,30257,8341
North Carolina,Clay,Democrat,1365,842
California,Trinity,Democrat,1648,1538
Illinois,Henry,Democrat,4338,4212
Pennsylvania,Clearfield,Democrat,7849,6402
Arkansas,Crittenden,Democrat,3541,4101
Oklahoma,Coal,Democrat,511,592
Texas,Potter,Democrat,7520,2581
Montana,Petroleum,Democrat,70,32
North Carolina,Forsyth,Democrat,25296,41225
South Dakota,Todd,Democrat,497,932
Indiana,Marshall,Democrat,3264,2907
Illinois,Edwards,Democrat,556,291
Michigan,Benzie,Democrat,1955,2503
Kentucky,Livingston,Democrat,563,1010
Texas,Dickens,Democrat,220,24
Michigan,Hillsdale,Democrat,3707,2357
Missouri,Schuyler,Democrat,299,243
Montana,Prairie,Democrat,162,92
Louisiana,Lincoln,Democrat,2587,2128
Pennsylvania,Lackawanna,Democrat,18091,40236
Texas,Crane,Democrat,228,86
Wisconsin,Sauk,Democrat,4960,11721
Virginia,Fredericksburg,Democrat,1934,2634
Oklahoma,Haskell,Democrat,1087,1227
California,Santa Barbara,Democrat,26102,46519
Mississippi,Lincoln,Democrat,2037,2126
North Carolina,Beaufort,Democrat,3994,4774
Delaware,Sussex,Democrat,20401,15973
Wisconsin,Iron,Democrat,758,980
Virginia,Louisa,Democrat,2963,2479
Nevada,Pershing,Democrat,725,65
Virginia,Surry,Democrat,702,986
Texas,Montgomery,Democrat,32099,12580
Missouri,Ray,Democrat,1853,1910
Iowa,Winneshiek,Democrat,1485,1100
Ohio,Washington,Democrat,5383,4968
Michigan,Clinton,Democrat,4812,7933
Georgia,Burke,Democrat,1490,1843
Illinois,Clay,Democrat,1054,817
Wyoming,Uinta,Democrat,1359,9
Kentucky,Rockcastle,Democrat,1170,492
Mississippi,Kemper,Democrat,579,1114
West Virginia,Wood,Democrat,8194,7688
Georgia,Union,Democrat,2544,990
Idaho,Minidoka,Democrat,1387,77
North Carolina,Nash,Democrat,6939,12218
New Mexico,Torrance,Democrat,1679,1300
South Carolina,Lexington,Democrat,23090,14394
Oregon,Curry,Democrat,3554,2991
Washington,Adams,Democrat,868,23
Missouri,Callaway,Democrat,3710,3056
California,Yuba,Democrat,6420,3302
Illinois,Vermilion,Democrat,7337,5798
Mississippi,Pontotoc,Democrat,1528,1004
Oregon,Multnomah,Democrat,44741,152982
California,Shasta,Democrat,17765,12015
Wisconsin,Oneida,Democrat,4223,6302
Montana,Blaine,Democrat,527,676
Wyoming,Weston,Democrat,773,2
Montana,Custer,Democrat,1178,858
Ohio,Fayette,Democrat,2187,1293
Arkansas,Jackson,Democrat,1352,927
Alabama,Randolph,Democrat,1598,1564
Kentucky,Clinton,Democrat,752,244
Mississippi,Webster,Democrat,531,476
New York,Lewis,Democrat,2332,1097
Virginia,Loudoun,Democrat,20436,35890
Wisconsin,Racine,Democrat,14054,28737
Texas,Denton,Democrat,39891,32220
Arkansas,Miller,Democrat,3406,1656
Illinois,Saline,Democrat,2136,2192
Michigan,Roscommon,Democrat,3162,2350
Georgia,Bacon,Democrat,502,171
Michigan,Livingston,Democrat,12150,17140
Mississippi,Marion,Democrat,1646,1741
Michigan,Shiawassee,Democrat,5252,7483
Tennessee,Dickson,Democrat,3865,2193
Alabama,Dale,Democrat,6730,1959
Delaware,New Castle,Democrat,36340,64318
Arkansas,Polk,Democrat,2163,621
Louisiana,Union,Democrat,1730,1039
North Carolina,Pitt,Democrat,9662,19404
North Carolina,Jackson,Democrat,3137,5043
Indiana,Newton,Democrat,986,955
Texas,Martin,Democrat,236,53
Tennessee,Gibson,Democrat,3849,1976
Georgia,Early,Democrat,728,747
Ohio,Jackson,Democrat,2941,1704
Montana,Powell,Democrat,907,456
New York,Bronx,Democrat,34498,136886
Virginia,Suffolk,Democrat,10741,9426
Kentucky,Jefferson,Democrat,54711,109138
South Dakota,Jackson,Democrat,210,128
Texas,Polk,Democrat,4558,1181
New Mexico,San Juan,Democrat,7752,5754
Colorado,Hinsdale,Democrat,111,13
Texas,La Salle,Democrat,267,713
Texas,McLennan,Democrat,16215,8164
Michigan,Wayne,Democrat,105562,268885
Florida,Hendry,Democrat,1820,1803
Nebraska,Nemaha,Democrat,674,74
Nevada,Mineral,Democrat,813,73
Georgia,Tift,Democrat,1993,1495
Idaho,Boundary,Democrat,1263,185
Iowa,Webster,Democrat,3109,1599
Michigan,Manistee,Democrat,2825,2766
Washington,San Juan,Democrat,1544,104
Oregon,Lake,Democrat,951,492
Texas,Hemphill,Democrat,213,23
Alabama,Dallas,Democrat,2897,10351
South Dakota,Sully,Democrat,102,88
Pennsylvania,York,Democrat,34528,35978
Indiana,Dubois,Democrat,3188,4598
New York,Queens,Democrat,56402,198691
Oklahoma,Ottawa,Democrat,2749,2210
South Carolina,Aiken,Democrat,14081,9758
Texas,Van Zandt,Democrat,4789,1099
Missouri,St. Louis City,Democrat,19347,62206
Ohio,Delaware,Democrat,10274,16443
Alabama,Jefferson,Democrat,46613,81676
South Dakota,Deuel,Democrat,456,273
South Dakota,Davison,Democrat,1541,982
Pennsylvania,Juniata,Democrat,1659,1379
Ohio,Meigs,Democrat,2018,1557
Texas,Willacy,Democrat,1081,2729
Tennessee,White,Democrat,2279,1089
South Dakota,Codington,Democrat,2360,1473
Texas,Cooke,Democrat,2935,783
Texas,Brooks,Democrat,415,1965
Georgia,Franklin,Democrat,1375,555
Oklahoma,Major,Democrat,617,355
Arkansas,Drew,Democrat,983,1725
Texas,Motley,Democrat,74,19
Nebraska,Boone,Democrat,514,44
Kentucky,Laurel,Democrat,4121,1636
Louisiana,DeSoto,Democrat,2243,1826
Michigan,Lake,Democrat,1272,1062
Kentucky,Ballard,Democrat,739,1064
North Carolina,Richmond,Democrat,4027,4536
Texas,Armstrong,Democrat,187,5
Indiana,DeKalb,Democrat,3081,2408
Virginia,Waynesboro,Democrat,1828,1557
Virginia,Madison,Democrat,1356,908
Texas,Red River,Democrat,1059,464
Colorado,Weld,Democrat,16805,2690
Arkansas,Van Buren,Democrat,1901,1206
Nebraska,Dodge,Democrat,2959,390
Texas,Dallas,Democrat,106414,157805
Virginia,King and Queen,Democrat,703,603
Michigan,Ottawa,Democrat,14254,22020
Kentucky,Carroll,Democrat,777,1054
Texas,Guadalupe,Democrat,15646,5848
Colorado,Washington,Democrat,433,22
Michigan,Eaton,Democrat,8128,12567
Montana,Sweet Grass,Democrat,304,239
Washington,Pend Oreille,Democrat,1478,45
Georgia,Peach,Democrat,2354,1991
South Carolina,Spartanburg,Democrat,20802,15109
Montana,Yellowstone,Democrat,13513,14819
Indiana,Huntington,Democrat,2703,2063
South Dakota,Campbell,Democrat,126,46
Delaware,Kent,Democrat,18340,12318
California,Mariposa,Democrat,2153,2013
Wisconsin,Waushara,Democrat,2616,2683
Virginia,Bedford,Democrat,7104,3300
Florida,Lake,Democrat,34327,24379
North Carolina,Edgecombe,Democrat,3909,8469
Kentucky,Nicholas,Democrat,438,773
Missouri,Webster,Democrat,3036,2110
Maryland,Howard,Democrat,18971,49625
Montana,Pondera,Democrat,477,490
Colorado,Montezuma,Democrat,2319,610
New York,Broome,Democrat,14650,16211
New Mexico,Valencia,Democrat,7548,6000
Louisiana,St. Tammany,Democrat,19810,9796
Nebraska,Sarpy,Democrat,18098,2719
Illinois,Henderson,Democrat,831,634
Texas,Comal,Democrat,12595,5132
West Virginia,Kanawha,Democrat,16579,26108
New York,Cortland,Democrat,3432,3280
Georgia,Murray,Democrat,2122,851
Wisconsin,Taylor,Democrat,1509,2128
Kentucky,Ohio,Democrat,1717,1721
Kentucky,Boone,Democrat,8606,5428
Mississippi,Panola,Democrat,1901,3540
Oklahoma,Love,Democrat,645,816
California,Kings,Democrat,10609,6469
Texas,Liberty,Democrat,5416,1419
Louisiana,Franklin,Democrat,1222,868
Iowa,Adair,Democrat,790,300
Ohio,Franklin,Democrat,68862,152509
Oklahoma,Seminole,Democrat,1931,2126
Illinois,Marshall,Democrat,1118,1154
Missouri,Benton,Democrat,2393,1236
Virginia,Rockingham,Democrat,4837,3675
Tennessee,Grundy,Democrat,1001,649
Michigan,Delta,Democrat,4361,3114
Nebraska,Otoe,Democrat,1209,180
Missouri,Camden,Democrat,5092,2807
Texas,Wood,Democrat,4876,944
Ohio,Lawrence,Democrat,5615,4648
Florida,Monroe,Democrat,7691,8569
Montana,Fallon,Democrat,220,55
New Mexico,McKinley,Democrat,3162,8060
New Jersey,Hudson,Democrat,16139,74910
New Mexico,Lea,Democrat,3814,1356
Texas,Garza,Democrat,268,57
Arkansas,Howard,Democrat,875,664
Washington,Lincoln,Democrat,1223,30
Texas,Hardin,Democrat,4159,1023
Oklahoma,Payne,Democrat,4701,6451
Idaho,Adams,Democrat,545,67
Texas,Tom Green,Democrat,8975,2884
Colorado,Prowers,Democrat,1010,58
Iowa,Lyon,Democrat,689,199
Arkansas,Madison,Democrat,1279,2163
Missouri,Lafayette,Democrat,2654,2497
Texas,Hopkins,Democrat,2731,926
California,Del Norte,Democrat,2770,2338
Illinois,Wayne,Democrat,1454,637
Colorado,Park,Democrat,1992,349
Illinois,Kendall,Democrat,5821,12765
Arkansas,Ouachita,Democrat,2039,2620
Illinois,Ogle,Democrat,4112,4435
Missouri,Dade,Democrat,831,414
Illinois,White,Democrat,1374,1095
Alabama,Russell,Democrat,5977,5369
Florida,Broward,Democrat,92575,180857
Pennsylvania,Sullivan,Democrat,774,607
California,Colusa,Democrat,1126,1237
Texas,Irion,Democrat,187,42
Utah,Wayne,Democrat,205,100
Missouri,Nodaway,Democrat,1277,1447
Montana,Park,Democrat,1386,2390
Kentucky,Breckinridge,Democrat,1707,1752
New York,Livingston,Democrat,4932,4021
Kentucky,Shelby,Democrat,3476,4239
California,Contra Costa,Democrat,57474,116718
Virginia,Scott,Democrat,1501,538
Missouri,Gentry,Democrat,604,347
Mississippi,Prentiss,Democrat,1133,932
Illinois,Massac,Democrat,1263,1031
Arkansas,Pope,Democrat,4459,2849
Texas,Newton,Democrat,1518,1134
North Carolina,Chatham,Democrat,5598,12916
Colorado,Costilla,Democrat,445,87
