"state","county","party","weterani_hr","liczba_glosow"
Pennsylvania,Susquehanna,Republican,4032,8128
Texas,Live Oak,Republican,1218,2084
Illinois,Calhoun,Republican,444,666
Maryland,Wicomico,Republican,7490,10456
Virginia,Loudoun,Republican,20436,51081
Pennsylvania,Crawford,Republican,7843,13145
Ohio,Columbiana,Republican,10047,18559
Georgia,Camden,Republican,6625,6221
Utah,Wayne,Republican,205,228
Louisiana,Red River,Republican,569,585
Montana,Madison,Republican,798,1774
Virginia,Spotsylvania,Republican,13141,18128
Illinois,Cass,Republican,982,1534
Missouri,Jackson,Republican,48827,69817
Tennessee,Cannon,Republican,1004,2305
Idaho,Owyhee,Republican,922,1634
Kentucky,Metcalfe,Republican,560,705
South Dakota,Turner,Republican,693,570
Virginia,Bristol,Republican,1469,2225
Arkansas,Randolph,Republican,1405,1943
Kentucky,Lyon,Republican,913,430
Washington,Walla Walla,Republican,5299,5744
Ohio,Lake,Republican,18485,43367
California,San Luis Obispo,Republican,21244,24422
Arkansas,Stone,Republican,1342,2459
Oklahoma,Lincoln,Republican,3373,4927
Texas,Irion,Republican,187,409
Pennsylvania,Jefferson,Republican,3802,7555
Virginia,Amelia,Republican,1082,2179
Texas,Palo Pinto,Republican,2430,5861
Ohio,Knox,Republican,4489,12843
Arkansas,Johnson,Republican,1887,3291
West Virginia,Hardy,Republican,1065,1305
North Carolina,Currituck,Republican,2698,4234
Arkansas,Grant,Republican,1594,3175
Ohio,Noble,Republican,1632,2443
Tennessee,Cumberland,Republican,6571,11646
Texas,Glasscock,Republican,39,392
Georgia,Meriwether,Republican,1383,2963
Oklahoma,Creek,Republican,5750,10154
Missouri,Cole,Republican,6518,14364
West Virginia,Doddridge,Republican,795,1458
Florida,Clay,Republican,26014,37320
Iowa,Dubuque,Republican,7057,3975
New Mexico,Sierra,Republican,1834,1164
South Dakota,Brule,Republican,477,364
Kentucky,McCracken,Republican,5642,3494
Montana,Fergus,Republican,1233,2431
Florida,Suwannee,Republican,4324,5545
Michigan,Newaygo,Republican,4144,8252
Texas,Jones,Republican,1808,3172
Arizona,Navajo,Republican,7144,7480
Georgia,Fulton,Republican,47038,82997
Michigan,Roscommon,Republican,3162,4140
Georgia,Randolph,Republican,576,680
Michigan,Alcona,Republican,1702,2049
Missouri,Jefferson,Republican,17825,33902
Virginia,Hampton,Republican,20146,9386
Arkansas,Jackson,Republican,1352,1612
Delaware,Sussex,Republican,20401,24451
Florida,Hernando,Republican,21514,26393
Wisconsin,Sauk,Republican,4960,10793
Texas,Edwards,Republican,156,541
Iowa,Cedar,Republican,1620,1064
Georgia,Evans,Republican,725,1240
Georgia,Johnson,Republican,729,1264
Louisiana,Tensas,Republican,352,262
Arkansas,Madison,Republican,1279,1716
Alabama,Covington,Republican,3433,9257
Arkansas,Perry,Republican,1002,1403
Ohio,Muskingum,Republican,6554,14909
Texas,La Salle,Republican,267,297
Alabama,Henry,Republican,1497,3713
South Carolina,Greenwood,Republican,4988,10532
Washington,Franklin,Republican,3416,5519
Indiana,Dubois,Republican,3188,7818
South Carolina,Chesterfield,Republican,3177,4500
New Mexico,Bernalillo,Republican,55419,28392
Virginia,Russell,Republican,1458,3078
Illinois,Mercer,Republican,1471,2601
Florida,Franklin,Republican,1235,1197
Louisiana,Avoyelles,Republican,2836,1522
New Mexico,Lincoln,Republican,2186,2582
Arkansas,Sevier,Republican,1055,1518
Texas,Bailey,Republican,425,935
Georgia,Marion,Republican,970,866
New Jersey,Mercer,Republican,17493,11859
Kentucky,Union,Republican,1253,237
North Carolina,Richmond,Republican,4027,2590
Ohio,Ottawa,Republican,3602,7514
Louisiana,Tangipahoa,Republican,7736,7552
Utah,Carbon,Republican,1316,978
Florida,Citrus,Republican,21097,26794
Pennsylvania,Somerset,Republican,6814,13760
Ohio,Butler,Republican,25433,67481
Arkansas,Hempstead,Republican,1556,2343
West Virginia,Lewis,Republican,1478,2493
Tennessee,Johnson,Republican,1503,2769
Tennessee,Haywood,Republican,1101,1473
Ohio,Pike,Republican,2244,3581
Pennsylvania,Juniata,Republican,1659,4100
Michigan,Gladwin,Republican,2636,3670
Texas,Dawson,Republican,489,2005
Alabama,Winston,Republican,1721,5838
South Dakota,Sanborn,Republican,275,166
Iowa,Mitchell,Republican,895,471
West Virginia,Kanawha,Republican,16579,17491
Georgia,Ben Hill,Republican,1133,1799
Iowa,Buchanan,Republican,1511,837
Georgia,Jenkins,Republican,605,973
Oklahoma,Craig,Republican,1412,1197
Arkansas,Jefferson,Republican,5858,3708
Texas,Cottle,Republican,103,283
Ohio,Scioto,Republican,6446,11191
Ohio,Ashland,Republican,4136,11223
Illinois,Henderson,Republican,831,1176
