"state","county","party","weterani_hr","liczba_glosow"
Virginia,James City,Republican,8923,15186
Wisconsin,Columbia,Republican,4714,10846
Arizona,Gila,Republican,6166,4752
Iowa,Louisa,Republican,815,724
Virginia,Shenandoah,Republican,3629,6155
Florida,Lake,Republican,34327,52103
Florida,Gilchrist,Republican,1815,3100
Tennessee,Giles,Republican,2246,3704
Florida,Brevard,Republican,68817,95397
Maryland,Howard,Republican,18971,26185
Virginia,Prince George,Republican,4312,3989
North Carolina,Hyde,Republican,271,408
Virginia,Roanoke City,Republican,7732,7415
Georgia,Carroll,Republican,7343,17778
Missouri,Platte,Republican,7457,14480
Texas,Oldham,Republican,83,557
Iowa,Cherokee,Republican,1163,838
Oregon,Josephine,Republican,10265,13671
Nevada,Washoe,Republican,36058,15430
New Jersey,Sussex,Republican,9652,17192
Arkansas,Scott,Republican,961,1625
Mississippi,Alcorn,Republican,2377,5639
California,San Francisco,Republican,29478,11291
Washington,Spokane,Republican,46164,47688
Montana,Sanders,Republican,1537,2343
Arkansas,Polk,Republican,2163,4444
South Carolina,Dillon,Republican,2045,2675
Kentucky,Perry,Republican,1563,842
Ohio,Hardin,Republican,2290,5242
Georgia,Tift,Republican,1993,5562
Oklahoma,Caddo,Republican,2704,1978
South Dakota,Walworth,Republican,617,1028
Missouri,Moniteau,Republican,1252,2877
Missouri,Franklin,Republican,8051,19906
Kentucky,Floyd,Republican,2070,562
Missouri,Monroe,Republican,855,1580
Florida,Jackson,Republican,5114,4894
Ohio,Washington,Republican,5383,12421
Louisiana,St. Tammany,Republican,19810,29530
Iowa,Cerro Gordo,Republican,3999,2321
Kentucky,Grant,Republican,1732,1262
Alabama,Geneva,Republican,2336,6190
Ohio,Fayette,Republican,2187,4983
Missouri,Texas,Republican,2703,5046
Nebraska,Keith,Republican,738,1657
South Carolina,Dorchester,Republican,14715,22071
Nebraska,Banner,Republican,66,159
Louisiana,St. James,Republican,1347,613
Oklahoma,Adair,Republican,1691,1525
Mississippi,Pontotoc,Republican,1528,5345
West Virginia,Hancock,Republican,2842,2880
Georgia,Dodge,Republican,1499,2660
South Dakota,Spink,Republican,517,447
Idaho,Cassia,Republican,1340,4184
Alabama,Pickens,Republican,1610,2487
Georgia,Bulloch,Republican,4028,8120
Mississippi,Amite,Republican,726,2225
Texas,Moore,Republican,582,2322
Texas,Hockley,Republican,1163,3959
Arkansas,Poinsett,Republican,1835,2634
Illinois,Cumberland,Republican,982,2548
Nevada,Clark,Republican,151360,40990
Virginia,Lexington,Republican,320,540
North Carolina,Watauga,Republican,3180,7029
Montana,Glacier,Republican,934,488
Georgia,Pike,Republican,1400,4355
Texas,Duval,Republican,650,124
Georgia,Clarke,Republican,5581,8655
Oklahoma,Beaver,Republican,319,1127
Missouri,Henry,Republican,2212,3576
Utah,Tooele,Republican,3756,3409
Virginia,Manassas Park,Republican,885,943
Indiana,Knox,Republican,2712,7191
Tennessee,Claiborne,Republican,2138,3682
Georgia,Union,Republican,2544,5824
Mississippi,Clarke,Republican,1359,2750
Louisiana,St. Martin,Republican,3009,3248
Washington,Pend Oreille,Republican,1478,2263
Nebraska,Wayne,Republican,802,1099
Louisiana,St. Mary,Republican,3574,2916
Alabama,Montgomery,Republican,20008,26119
Illinois,DeWitt,Republican,1373,3723
South Dakota,Faulk,Republican,181,295
Tennessee,Decatur,Republican,1001,1564
Missouri,Daviess,Republican,800,1223
Tennessee,Williamson,Republican,9342,41013
Arkansas,Mississippi,Republican,3002,3419
Nebraska,Platte,Republican,2258,4107
Washington,Garfield,Republican,278,412
Virginia,Grayson,Republican,1091,1835
Texas,Crosby,Republican,297,696
Illinois,Christian,Republican,3129,5256
Kentucky,Henderson,Republican,3102,1284
Illinois,LaSalle,Republican,9116,14749
Oregon,Wheeler,Republican,164,280
Nebraska,Cass,Republican,3091,2767
Texas,Terry,Republican,490,1742
Washington,Grant,Republican,5671,9162
Virginia,Covington,Republican,631,432
Georgia,Wheeler,Republican,445,555
Georgia,Chattahoochee,Republican,581,316
Pennsylvania,Centre,Republican,9420,19768
Florida,Washington,Republican,2088,3717
North Carolina,Duplin,Republican,4154,4669
Georgia,Jones,Republican,1774,4648
Wisconsin,Washburn,Republican,1687,3728
Washington,Douglas,Republican,3107,3628
Alabama,Talladega,Republican,6691,12097
Virginia,Goochland,Republican,2026,5373
Texas,Mills,Republican,411,1335
Arizona,Cochise,Republican,18795,10951
Washington,Thurston,Republican,29091,21346
Tennessee,Putnam,Republican,4297,10487
Texas,Val Verde,Republican,2980,2466
Alabama,Etowah,Republican,8638,18417
Tennessee,Shelby,Republican,58540,67969
Wisconsin,La Crosse,Republican,8756,19341
Arkansas,Logan,Republican,2058,3241
Florida,Manatee,Republican,33883,53773
Pennsylvania,Allegheny,Republican,93347,117932
Illinois,Bond,Republican,1458,2603
Washington,Whitman,Republican,2526,2720
North Carolina,Surry,Republican,4760,9296
Montana,Custer,Republican,1178,1572
Mississippi,Hancock,Republican,4397,7103
South Carolina,Cherokee,Republican,3620,8612
California,Humboldt,Republican,10437,5911
Nebraska,Buffalo,Republican,2989,5320
Kentucky,Rowan,Republican,1231,885
Mississippi,Clay,Republican,1220,2193
Michigan,Gogebic,Republican,1941,1650
South Dakota,Ziebach,Republican,130,115
Wisconsin,Kenosha,Republican,11226,25724
New York,Schenectady,Republican,10946,8954
Nebraska,Colfax,Republican,633,680
Alabama,Cleburne,Republican,989,4189
Texas,Upton,Republican,158,620
Oklahoma,Pottawatomie,Republican,6223,7783
Oregon,Clackamas,Republican,30645,39159
North Carolina,Pamlico,Republican,1459,1911
Kentucky,Martin,Republican,645,966
Texas,Newton,Republican,1518,1750
Kentucky,Clinton,Republican,752,1418
Kentucky,Anderson,Republican,1504,1613
Alabama,Crenshaw,Republican,1098,2704
New York,Steuben,Republican,9370,10834
Virginia,Greene,Republican,1853,2932
South Dakota,Deuel,Republican,456,260
Wisconsin,Price,Republican,1516,3066
Florida,Okeechobee,Republican,3063,3656
Pennsylvania,Fulton,Republican,1269,2679
Georgia,Screven,Republican,946,1723
Florida,Sarasota,Republican,47357,70660
Georgia,Laurens,Republican,3407,6866
Iowa,Buena Vista,Republican,1207,1009
Pennsylvania,Wayne,Republican,5172,9167
Michigan,Emmet,Republican,2872,6042
Alabama,Madison,Republican,34203,64741
Texas,Hutchinson,Republican,1901,4698
Louisiana,Lafayette,Republican,13976,17226
Wisconsin,Juneau,Republican,2786,4969
Indiana,Jennings,Republican,2203,5052
Michigan,Iosco,Republican,3474,3583
Georgia,Echols,Republican,292,451
New York,Queens,Republican,56402,28227
Mississippi,Lee,Republican,5227,13261
New York,Monroe,Republican,43341,52383
South Carolina,Horry,Republican,27785,53775
North Carolina,Craven,Republican,13147,12212
Tennessee,Franklin,Republican,4372,6285
Montana,Big Horn,Republican,630,1244
Idaho,Valley,Republican,1131,1436
Missouri,McDonald,Republican,2096,3473
Georgia,Wilkes,Republican,630,1488
Texas,Garza,Republican,268,973
Texas,Jasper,Republican,3311,5824
Nebraska,Grant,Republican,50,213
Virginia,Botetourt,Republican,3169,6086
North Carolina,Warren,Republican,1915,954
Tennessee,Houston,Republican,764,1006
Indiana,Posey,Republican,1914,5177
Iowa,Winnebago,Republican,835,617
Arkansas,Baxter,Republican,5725,8480
Illinois,Shelby,Republican,2239,4718
Georgia,Miller,Republican,354,903
Virginia,Bedford,Republican,7104,15128
Arkansas,Nevada,Republican,762,662
Missouri,Clinton,Republican,2125,3517
Iowa,Wapello,Republican,2638,1669
Oklahoma,Hughes,Republican,1016,751
Idaho,Custer,Republican,547,980
Indiana,Randolph,Republican,1971,5129
Arkansas,Pulaski,Republican,31984,45524
Oregon,Wasco,Republican,2450,2515
Michigan,Van Buren,Republican,6290,8890
Oklahoma,McClain,Republican,2945,6039
Arkansas,Faulkner,Republican,8027,18277
Georgia,Whitfield,Republican,5376,12598
California,Sutter,Republican,6740,5469
Washington,Ferry,Republican,891,1093
Michigan,Clinton,Republican,4812,12043
Alabama,Barbour,Republican,2120,3357
Iowa,Plymouth,Republican,2025,1886
South Dakota,Kingsbury,Republican,478,638
South Dakota,Pennington,Republican,11444,11891
Idaho,Boundary,Republican,1263,1927
California,San Joaquin,Republican,35277,27000
Idaho,Lincoln,Republican,292,640
South Dakota,Hutchinson,Republican,500,966
Texas,Marion,Republican,1205,1671
Illinois,Peoria,Republican,12756,24830
Hawaii,Hawaii,Republican,15729,1978
North Carolina,Montgomery,Republican,1794,2671
Iowa,Harrison,Republican,1099,1019
Missouri,Perry,Republican,1546,3578
Texas,Haskell,Republican,356,797
Washington,Whatcom,Republican,14744,21025
Iowa,Ida,Republican,626,525
Florida,Okaloosa,Republican,30257,37994
Texas,Burnet,Republican,4296,9680
Michigan,Sanilac,Republican,3205,6842
North Carolina,Chatham,Republican,5598,8763
Nebraska,Seward,Republican,1113,1630
Nebraska,Hooker,Republican,73,153
Indiana,Fayette,Republican,2146,4045
Texas,Grayson,Republican,9787,19418
Arkansas,White,Republican,6022,12617
Oklahoma,Oklahoma,Republican,58256,87058
Wisconsin,Pierce,Republican,2696,6638
Mississippi,Oktibbeha,Republican,2216,4763
Virginia,Newport News,Republican,21639,13866
Missouri,Jasper,Republican,8408,20245
Alabama,Fayette,Republican,1221,4797
Utah,Cache,Republican,4258,10113
Oregon,Umatilla,Republican,6356,7192
Texas,Hunt,Republican,8001,14058
Oregon,Hood River,Republican,1487,1961
Mississippi,Wilkinson,Republican,386,641
Kentucky,Fulton,Republican,494,156
Illinois,Sangamon,Republican,15997,34063
Idaho,Nez Perce,Republican,4190,3786
Alabama,Houston,Republican,9254,19558
Virginia,Mathews,Republican,1125,1754
South Carolina,Berkeley,Republican,20705,27684
Idaho,Washington,Republican,1034,1955
West Virginia,Summers,Republican,1316,1161
Idaho,Lemhi,Republican,1004,1884
New York,Ontario,Republican,8978,8052
Oregon,Curry,Republican,3554,3776
Illinois,Kendall,Republican,5821,16424
Kentucky,Wayne,Republican,1247,1642
Indiana,Porter,Republican,11934,25626
Missouri,Lincoln,Republican,3873,8637
Florida,Hillsborough,Republican,94536,125261
Illinois,Franklin,Republican,3774,5749
Texas,Wheeler,Republican,319,1593
Montana,Roosevelt,Republican,504,804
Arkansas,Searcy,Republican,745,2336
New Mexico,Eddy,Republican,4448,4079
Iowa,Black Hawk,Republican,9095,5908
Illinois,Mason,Republican,1209,2107
Tennessee,Benton,Republican,1689,2197
North Carolina,Durham,Republican,15057,15891
Florida,Taylor,Republican,2310,2173
Illinois,Union,Republican,1591,2996
Nebraska,Hayes,Republican,133,141
Georgia,Oconee,Republican,2131,9046
Iowa,Des Moines,Republican,3575,2162
Tennessee,Bedford,Republican,3106,6231
Iowa,Adair,Republican,790,405
Tennessee,Knox,Republican,28744,62682
Illinois,Logan,Republican,2276,5877
Florida,Charlotte,Republican,24867,29159
Mississippi,Prentiss,Republican,1133,3321
Washington,Snohomish,Republican,57318,45272
Tennessee,Hancock,Republican,489,863
Georgia,Rabun,Republican,1503,3706
Michigan,Alger,Republican,1100,1215
Michigan,Shiawassee,Republican,5252,9338
South Carolina,Colleton,Republican,4023,5372
Wisconsin,Forest,Republican,946,1910
South Dakota,Jackson,Republican,210,211
Missouri,St. Charles,Republican,27143,72117
Mississippi,Attala,Republican,1408,2581
Utah,Box Elder,Republican,2724,4472
Nebraska,Franklin,Republican,367,427
Tennessee,Fayette,Republican,2956,7160
Pennsylvania,McKean,Republican,4247,5880
Oklahoma,Custer,Republican,1676,3462
Louisiana,West Carroll,Republican,698,752
Nebraska,Nance,Republican,237,408
Illinois,Hancock,Republican,1750,3376
Idaho,Adams,Republican,545,807
Virginia,Nottoway,Republican,1236,1599
Montana,Blaine,Republican,527,542
Tennessee,Hamilton,Republican,25822,49717
Georgia,Candler,Republican,770,1765
Georgia,Schley,Republican,267,761
Michigan,Oceana,Republican,2394,4292
Ohio,Champaign,Republican,3404,8345
Texas,Yoakum,Republican,361,1455
Iowa,Boone,Republican,2277,1757
Tennessee,Greene,Republican,5888,10732
Pennsylvania,Erie,Republican,21569,29495
Mississippi,Covington,Republican,1460,3020
Texas,Ochiltree,Republican,500,1737
Texas,Roberts,Republican,35,368
Illinois,Hamilton,Republican,713,1603
Arizona,Pinal,Republican,35852,17828
Missouri,Clay,Republican,17663,32102
Texas,Stephens,Republican,624,2459
Texas,Hamilton,Republican,710,2104
Wisconsin,Fond du Lac,Republican,7892,22674
Georgia,Franklin,Republican,1375,4282
Texas,La Vaca,Republican,1280,3964
Oklahoma,Woods,Republican,728,1565
Nevada,Mineral,Republican,813,191
North Carolina,Anson,Republican,1993,1191
New York,Greene,Republican,4539,3977
Arkansas,Newton,Republican,838,2684
West Virginia,Mason,Republican,2950,3035
Virginia,Chesterfield,Republican,27083,53331
Wisconsin,Shawano,Republican,3646,9110
Virginia,Nelson,Republican,1327,1668
California,Mono,Republican,850,1062
Missouri,Stoddard,Republican,2906,5700
Illinois,Adams,Republican,5862,12498
New York,Wyoming,Republican,3188,4083
Missouri,Warren,Republican,2884,5795
Georgia,McDuffie,Republican,1112,3127
Georgia,Quitman,Republican,223,296
Iowa,Audubon,Republican,557,374
Montana,Gallatin,Republican,5744,10972
South Carolina,Pickens,Republican,8483,23685
South Dakota,Clay,Republican,943,565
South Dakota,Oglala Lakota,Republican,679,76
California,Santa Clara,Republican,66749,52474
Pennsylvania,Northampton,Republican,22090,31054
Pennsylvania,Clinton,Republican,3329,4717
Oregon,Yamhill,Republican,7554,11227
Oklahoma,Grant,Republican,365,978
Alabama,Clarke,Republican,1583,4534
Missouri,Ralls,Republican,1042,2006
South Dakota,Day,Republican,572,343
Kentucky,Adair,Republican,1378,2579
Montana,Yellowstone,Republican,13513,22429
Wisconsin,Iron,Republican,758,1522
Oklahoma,Choctaw,Republican,1047,699
Maryland,Harford,Republican,21099,34458
Tennessee,Chester,Republican,1126,2435
Virginia,Arlington,Republican,12638,21728
Louisiana,Sabine,Republican,2074,1653
Texas,Medina,Republican,4392,7332
Indiana,Parke,Republican,1398,3059
Washington,Yakima,Republican,14210,17301
Oklahoma,Delaware,Republican,4321,4595
Texas,Dallam,Republican,297,802
Maryland,St. Mary's,Republican,12902,11378
Tennessee,Macon,Republican,1280,3014
Ohio,Logan,Republican,3460,10171
Georgia,Thomas,Republican,3525,6497
Louisiana,Richland,Republican,1003,1288
Virginia,Colonial Heights,Republican,1960,2863
Iowa,Pottawattamie,Republican,7373,4369
Utah,Piute,Republican,184,168
Louisiana,Iberia,Republican,4521,4712
Wisconsin,Buffalo,Republican,1092,2647
Ohio,Darke,Republican,3760,12497
Oklahoma,Tillman,Republican,655,669
Nebraska,Stanton,Republican,317,887
Mississippi,Franklin,Republican,589,1546
Wisconsin,Rock,Republican,11930,24045
Iowa,Pocahontas,Republican,668,483
South Carolina,Marlboro,Republican,1873,1749
Virginia,King George,Republican,3007,3866
Florida,Liberty,Republican,645,349
Oregon,Linn,Republican,11747,13558
Georgia,Gwinnett,Republican,39586,97465
Virginia,Buckingham,Republican,1289,1631
Texas,Falls,Republican,1359,2389
Nebraska,Cuming,Republican,722,1112
Indiana,Montgomery,Republican,2793,7956
Tennessee,Madison,Republican,6934,11791
Idaho,Bear Lake,Republican,440,1428
Tennessee,Meigs,Republican,1024,1772
Virginia,Fauquier,Republican,6424,13368
South Carolina,Charleston,Republican,31268,54625
Ohio,Henry,Republican,2404,6584
West Virginia,Morgan,Republican,1356,3342
Texas,Jefferson,Republican,17635,18627
Ohio,Wayne,Republican,8025,21006
Texas,Cochran,Republican,141,682
North Carolina,Avery,Republican,1417,3961
Texas,Starr,Republican,1007,123
Texas,Midland,Republican,8820,20347
Texas,Colorado,Republican,1689,3701
Georgia,Chattooga,Republican,1540,3198
California,Riverside,Republican,135139,97548
Florida,Flagler,Republican,11345,16459
North Carolina,Polk,Republican,2006,3430
Texas,Gray,Republican,1467,4305
Wisconsin,Washington,Republican,8853,39908
Virginia,Winchester,Republican,1648,2682
Missouri,Montgomery,Republican,1125,2349
New Jersey,Essex,Republican,27099,14646
Texas,Denton,Republican,39891,93538
Wisconsin,Vilas,Republican,2572,6079
Mississippi,Pike,Republican,2235,4255
Arkansas,Sharp,Republican,2092,2867
Illinois,Kankakee,Republican,8404,14510
Ohio,Fairfield,Republican,11877,31374
Pennsylvania,Bedford,Republican,4355,10042
Texas,Upshur,Republican,3528,8087
West Virginia,Wyoming,Republican,1621,1725
Kentucky,Webster,Republican,1070,234
Georgia,Paulding,Republican,10479,23854
Texas,Foard,Republican,93,30
South Carolina,Richland,Republican,33288,39259
Virginia,Norton,Republican,265,373
Illinois,Washington,Republican,1446,3165
Iowa,Emmet,Republican,770,403
Kentucky,Knox,Republican,1564,2309
Nebraska,Kimball,Republican,379,562
Idaho,Minidoka,Republican,1387,2431
Texas,Matagorda,Republican,2636,4300
Georgia,Macon,Republican,895,808
Indiana,Carroll,Republican,1694,4460
Florida,Escambia,Republican,34292,48021
North Carolina,Stanly,Republican,4315,10142
Oklahoma,Ottawa,Republican,2749,2004
Texas,Panola,Republican,1737,5180
Georgia,Warren,Republican,333,623
Iowa,Page,Republican,1590,872
Pennsylvania,Lebanon,Republican,10979,23753
Michigan,Tuscola,Republican,4494,8344
Maryland,Somerset,Republican,2083,2397
Wisconsin,Adams,Republican,2551,4013
Georgia,Hall,Republican,10555,32212
Illinois,Ford,Republican,1164,3253
Alabama,Chambers,Republican,2691,4441
Tennessee,Morgan,Republican,1991,2504
Pennsylvania,Mercer,Republican,10774,14583
Texas,Navarro,Republican,3124,7354
Indiana,Hendricks,Republican,10552,36300
Idaho,Gooding,Republican,1125,1885
Indiana,Pulaski,Republican,884,2902
Georgia,Turner,Republican,491,1131
Ohio,Ross,Republican,7168,11907
Texas,Bee,Republican,2453,2879
South Carolina,Beaufort,Republican,18885,32970
North Carolina,Martin,Republican,1691,1831
Kentucky,Carter,Republican,1647,1270
Texas,Robertson,Republican,956,2569
Washington,Pacific,Republican,3119,2373
Texas,Archer,Republican,863,2384
Illinois,Boone,Republican,3404,9382
Arizona,La Paz,Republican,3044,1243
Missouri,Miller,Republican,2496,4938
Virginia,Hanover,Republican,7945,24556
Indiana,Clark,Republican,8935,17385
Kentucky,Breckinridge,Republican,1707,1235
Pennsylvania,Northumberland,Republican,9663,12283
Indiana,Crawford,Republican,814,1852
Oregon,Columbia,Republican,5505,5049
Texas,San Patricio,Republican,5350,6808
South Carolina,York,Republican,16892,37910
Georgia,Gilmer,Republican,2397,6340
Arizona,Maricopa,Republican,271518,250541
Georgia,Early,Republican,728,1326
Iowa,Linn,Republican,16870,11619
Iowa,Jackson,Republican,1788,928
Nebraska,Dundy,Republican,189,307
Indiana,Noble,Republican,3335,8706
South Dakota,Bon Homme,Republican,671,508
Indiana,Shelby,Republican,3476,8673
Louisiana,Bienville,Republican,1134,966
New York,Oswego,Republican,9170,11221
Alabama,Dallas,Republican,2897,849
Georgia,Greene,Republican,1457,3719
Pennsylvania,Snyder,Republican,2722,6775
South Carolina,Georgetown,Republican,6091,11495
Wisconsin,Jefferson,Republican,6194,17662
Texas,Maverick,Republican,1159,423
Hawaii,Maui,Republican,10056,1428
California,Colusa,Republican,1126,1559
Oklahoma,Payne,Republican,4701,9036
Montana,Liberty,Republican,143,467
Indiana,Grant,Republican,5887,12381
North Carolina,Greene,Republican,1485,1388
South Carolina,Florence,Republican,9328,18121
Texas,Sherman,Republican,180,496
Georgia,Sumter,Republican,1955,2969
Nebraska,Harlan,Republican,330,658
Pennsylvania,Bucks,Republican,40571,88772
Wisconsin,Barron,Republican,3833,8694
Virginia,Powhatan,Republican,2390,6534
New York,Orleans,Republican,3376,3943
South Carolina,Abbeville,Republican,1944,3667
Mississippi,Montgomery,Republican,767,1377
California,Lassen,Republican,3119,2868
Ohio,Wood,Republican,8607,22235
Idaho,Jefferson,Republican,1587,5445
Arkansas,Woodruff,Republican,581,286
Montana,Treasure,Republican,80,165
Kentucky,Elliott,Republican,464,39
California,Napa,Republican,9410,5206
Kentucky,Lee,Republican,397,492
Iowa,Lucas,Republican,656,588
North Carolina,Franklin,Republican,4275,7206
Louisiana,Evangeline,Republican,1781,1507
Louisiana,Jeff Davis,Republican,2183,1522
Texas,Orange,Republican,6481,14792
Alabama,Hale,Republican,995,1117
Tennessee,Crockett,Republican,849,2051
Nebraska,Dixon,Republican,477,829
Texas,Menard,Republican,277,552
Nebraska,Hamilton,Republican,805,1728
Missouri,Dallas,Republican,1615,3595
Illinois,Clinton,Republican,3558,5632
Tennessee,Hickman,Republican,1897,2771
North Carolina,Dare,Republican,3135,5075
Nebraska,Polk,Republican,423,691
Mississippi,Kemper,Republican,579,907
Georgia,Seminole,Republican,644,1379
South Dakota,Beadle,Republican,1379,702
Georgia,Liberty,Republican,10207,2859
Indiana,Adams,Republican,1778,6676
Ohio,Gallia,Republican,2339,6058
Michigan,Macomb,Republican,55720,118220
Tennessee,Maury,Republican,5898,11572
South Carolina,Hampton,Republican,1347,1663
Idaho,Payette,Republican,2002,3266
New York,Schuyler,Republican,1655,1753
Georgia,Bibb,Republican,11498,15137
Tennessee,Carroll,Republican,2429,3578
Montana,Powell,Republican,907,973
Indiana,DeKalb,Republican,3081,8575
Idaho,Oneida,Republican,417,761
North Carolina,Tyrrell,Republican,337,306
Missouri,St. Louis City,Republican,19347,13425
Oklahoma,Harper,Republican,241,650
Florida,Duval,Republican,85376,108027
Texas,Bosque,Republican,1892,4070
Louisiana,Winn,Republican,940,883
Washington,Island,Republican,12624,9784
Iowa,Mills,Republican,1347,1121
New Mexico,Dona Ana,Republican,16154,6582
Virginia,King William,Republican,1187,2671
Idaho,Benewah,Republican,1019,1266
Ohio,Seneca,Republican,4720,9808
Washington,Klickitat,Republican,2224,2787
Oklahoma,Johnston,Republican,936,678
Missouri,Andrew,Republican,1496,3372
Illinois,Pike,Republican,1146,3210
Montana,Jefferson,Republican,1397,2027
South Carolina,Saluda,Republican,1446,3431
Florida,Osceola,Republican,16395,21193
Texas,Morris,Republican,1204,1511
California,Inyo,Republican,1720,1698
Mississippi,Adams,Republican,2028,2942
West Virginia,Logan,Republican,2908,1792
Florida,Marion,Republican,39952,55700
Indiana,Johnson,Republican,9895,31266
Florida,Highlands,Republican,12995,14462
Mississippi,Jones,Republican,4596,11794
Tennessee,Obion,Republican,2553,4422
Georgia,Polk,Republican,2804,5962
Mississippi,Jefferson,Republican,304,236
Michigan,Branch,Republican,3137,5716
Pennsylvania,Union,Republican,3467,6214
Idaho,Caribou,Republican,478,1292
Pennsylvania,Pike,Republican,5570,6914
Indiana,Lawrence,Republican,4192,9610
Montana,Petroleum,Republican,70,185
Illinois,DeKalb,Republican,5687,13424
Tennessee,Wilson,Republican,9480,21723
Utah,Rich,Republican,178,252
Washington,Mason,Republican,8425,6684
Pennsylvania,Carbon,Republican,6219,8080
Illinois,Macon,Republican,9711,16167
North Carolina,Mecklenburg,Republican,52506,85677
Indiana,Wells,Republican,1840,6952
Missouri,Clark,Republican,700,1129
Alabama,Limestone,Republican,6964,18689
South Carolina,Williamsburg,Republican,2053,2739
Virginia,Stafford,Republican,17657,20153
