"state","county","party","pop_2010_real_hr","zageszczenie_2010_hr","liczba_glosow"
Missouri,Franklin,Democrat,101492,110.0,8485
Maryland,Montgomery,Democrat,971777,1978.2,160045
Texas,Jim Hogg,Democrat,5300,4.7,1777
North Carolina,Pamlico,Democrat,13144,39.1,1598
Maryland,Dorchester,Democrat,32618,60.3,2751
Illinois,Morgan,Democrat,35547,62.5,2195
Virginia,Spotsylvania,Democrat,122397,304.9,8879
Colorado,Rio Grande,Democrat,11982,13.1,106
Tennessee,Anderson,Democrat,75129,222.8,4173
Missouri,Gasconade,Democrat,15222,29.4,908
Indiana,Jennings,Democrat,28525,75.7,1758
New Mexico,Chaves,Democrat,65645,10.8,2188
Iowa,Monroe,Democrat,7970,18.4,298
Louisiana,Tensas,Democrat,5252,8.7,553
Colorado,Teller,Democrat,23350,41.9,345
North Carolina,Vance,Democrat,45422,179.2,6560
Texas,Loving,Democrat,82,0.1,8
Iowa,Lee,Democrat,35862,69.3,1699
Indiana,Jay,Democrat,21253,55.4,1396
Texas,Zavala,Democrat,11677,9.0,1930
Indiana,Jefferson,Democrat,32428,89.9,3113
Tennessee,Grainger,Democrat,22657,80.7,447
Kentucky,Estill,Democrat,14672,58.0,886
Mississippi,Washington,Democrat,51137,70.6,3391
Nebraska,Dawes,Democrat,9182,6.6,185
Mississippi,Noxubee,Democrat,11545,16.6,1531
Georgia,Effingham,Democrat,52250,109.4,1798
Virginia,Suffolk,Democrat,84585,211.4,9426
Pennsylvania,Centre,Democrat,153990,138.7,18700
Idaho,Blaine,Democrat,21376,8.1,788
North Carolina,Sampson,Democrat,63431,67.1,5344
Texas,Bell,Democrat,310235,295.2,10495
North Carolina,Tyrrell,Democrat,4407,11.3,463
Kentucky,Robertson,Democrat,2282,22.8,272
Indiana,Crawford,Democrat,10713,35.1,1300
Michigan,Macomb,Democrat,840978,1754.9,93839
New York,Essex,Democrat,39370,21.9,2640
Oklahoma,Mayes,Democrat,41259,63.0,3803
Oregon,Yamhill,Democrat,99193,138.6,11767
Tennessee,Bradley,Democrat,98963,301.0,2946
Texas,Hill,Democrat,35089,36.6,1015
Kentucky,Muhlenberg,Democrat,31499,67.4,3176
Missouri,Reynolds,Democrat,6696,8.3,458
Missouri,Greene,Democrat,275174,407.5,28313
Wyoming,Fremont,Democrat,40123,4.4,20
Delaware,Sussex,Democrat,197145,210.6,15973
Georgia,Jones,Democrat,28669,72.8,1956
Indiana,Marshall,Democrat,47051,106.1,2907
California,Sierra,Democrat,3240,3.4,488
Ohio,Tuscarawas,Democrat,92582,163.1,8498
South Carolina,Anderson,Democrat,187126,261.6,8241
Indiana,DeKalb,Democrat,42223,116.4,2408
Oregon,Wheeler,Democrat,1441,0.8,134
Wisconsin,Rusk,Democrat,14755,16.2,1910
Montana,Valley,Democrat,7369,1.5,681
Florida,Hillsborough,Democrat,1229226,1204.9,107441
Illinois,Kendall,Democrat,114736,358.2,12765
Texas,Colorado,Democrat,20874,21.7,624
New York,Schoharie,Democrat,32749,52.7,1710
Wisconsin,Green Lake,Democrat,19051,54.5,2017
Wyoming,Laramie,Democrat,91738,34.2,51
Arizona,Graham,Democrat,37220,8.1,1788
Texas,Fayette,Democrat,24554,25.8,893
Michigan,Newaygo,Democrat,48460,59.6,3429
Texas,Burleson,Democrat,17187,26.1,618
Louisiana,LaSalle,Democrat,14890,23.8,320
Oklahoma,Woods,Democrat,8878,6.9,580
Texas,Wilbarger,Democrat,13535,13.9,211
Florida,Monroe,Democrat,73090,74.3,8569
Texas,Goliad,Democrat,7210,8.5,540
California,Modoc,Democrat,9686,2.5,520
Tennessee,Morgan,Democrat,21987,42.1,581
Michigan,Chippewa,Democrat,38520,24.7,3019
South Dakota,Jerauld,Democrat,2071,3.9,161
Indiana,Knox,Democrat,38440,74.5,3516
Texas,Gaines,Democrat,17526,11.7,150
Oklahoma,Canadian,Democrat,115541,128.9,8279
Oklahoma,Comanche,Democrat,124098,116.1,7327
Indiana,Vermillion,Democrat,16212,63.1,2383
Indiana,Vigo,Democrat,107848,267.4,13476
Arkansas,Logan,Democrat,22353,31.6,1242
Michigan,Houghton,Democrat,36628,36.3,3148
