"state","county","party","pop_2010_real_hr","zageszczenie_2010_hr","liczba_glosow"
Ohio,Lucas,Republican,441815,1296.2,51073
Kentucky,Marion,Republican,19820,57.8,414
West Virginia,Randolph,Republican,29405,28.3,2632
Ohio,Jefferson,Republican,69709,170.7,10681
Louisiana,Red River,Republican,9091,23.4,585
Missouri,Butler,Republican,42794,61.6,7079
Virginia,Norton,Republican,3958,529.1,373
Montana,Fergus,Republican,11586,2.7,2431
Tennessee,Greene,Republican,68831,110.6,10732
South Dakota,Codington,Republican,27227,39.5,2190
South Carolina,Darlington,Republican,68681,122.4,8879
Missouri,Greene,Republican,275174,407.5,50735
Texas,Rusk,Republican,53330,57.7,8983
Florida,Glades,Republican,12884,16.0,1058
South Dakota,Beadle,Republican,17398,13.8,702
Texas,Howard,Republican,35012,38.9,3657
Montana,Chouteau,Republican,5813,1.5,1053
Texas,Refugio,Republican,7383,9.6,929
Oregon,Malheur,Republican,31313,3.2,3404
Georgia,Sumter,Republican,32819,68.0,2969
Mississippi,Holmes,Republican,19198,25.4,707
Texas,Shelby,Republican,25448,32.0,4600
Georgia,Miller,Republican,6125,21.7,903
Kentucky,McCracken,Republican,65565,263.6,3494
Wisconsin,Ashland,Republican,16157,15.5,2469
Texas,Hardeman,Republican,4139,6.0,637
Georgia,Screven,Republican,14593,22.6,1723
New York,Staten Island,Republican,468730,8030.3,24688
Texas,Angelina,Republican,86771,108.8,13075
Tennessee,Sullivan,Republican,156823,379.4,22196
Utah,Beaver,Republican,6629,2.6,363
Missouri,Macon,Republican,15566,19.4,3132
Iowa,Tama,Republican,17767,24.6,983
Georgia,Cook,Republican,17212,75.8,2212
Alabama,Butler,Republican,20947,27.0,3144
Texas,Aransas,Republican,23158,91.9,4973
Nebraska,Fillmore,Republican,5890,10.2,824
Pennsylvania,Cambria,Republican,143679,208.7,16208
Texas,Real,Republican,3309,4.7,1328
Virginia,New Kent,Republican,18429,87.9,4060
Virginia,Falls Church,Republican,12332,6169.1,1548
Louisiana,Grant,Republican,22309,34.7,1597
Missouri,Gasconade,Republican,15222,29.4,3049
Georgia,Johnson,Republican,9980,32.9,1264
South Dakota,Pennington,Republican,100948,36.4,11891
Texas,Donley,Republican,3677,4.0,785
Alabama,Wilcox,Republican,11670,13.1,521
Kentucky,Henry,Republican,15416,53.9,762
Texas,De Witt,Republican,20097,22.1,3449
Indiana,Fayette,Republican,24277,112.9,4045
Alabama,Coosa,Republican,11539,17.7,2176
Tennessee,Henry,Republican,32330,57.5,5273
New Jersey,Ocean,Republican,576567,917.0,50767
Indiana,Sullivan,Republican,21475,48.0,3438
Virginia,Middlesex,Republican,10959,84.1,1894
Iowa,Clarke,Republican,9286,21.5,557
Texas,Terry,Republican,12651,14.2,1742
Wisconsin,Door,Republican,27785,57.6,7234
North Carolina,Catawba,Republican,154358,387.1,24420
Virginia,Williamsburg,Republican,14068,1559.3,1524
Texas,San Augustine,Republican,8865,16.7,1944
Missouri,Clinton,Republican,20743,49.5,3517
Texas,Uvalde,Republican,26405,17.0,2178
Maryland,Cecil,Republican,101108,292.0,11540
South Dakota,Ziebach,Republican,2801,1.4,115
Kentucky,Rockcastle,Republican,17056,53.9,1623
Mississippi,Lauderdale,Republican,80261,114.1,10121
Georgia,Peach,Republican,27695,184.3,3018
Mississippi,Greene,Republican,14400,20.2,2104
Iowa,Bremer,Republican,24276,55.7,1490
New York,Greene,Republican,49221,76.1,3977
Mississippi,Sunflower,Republican,29450,42.2,1437
Florida,Charlotte,Republican,159978,235.2,29159
Arkansas,Arkansas,Republican,19019,19.2,2684
Wisconsin,Sauk,Republican,61976,74.6,10793
California,Stanislaus,Republican,514453,344.2,19148
Louisiana,West Feliciana,Republican,15625,38.8,886
New Mexico,Lea,Republican,64727,14.7,3683
Illinois,Winnebago,Republican,295266,575.2,37246
New Jersey,Camden,Republican,513657,2321.5,17728
Indiana,LaPorte,Republican,111467,186.3,14852
Texas,Haskell,Republican,5899,6.5,797
Ohio,Morrow,Republican,34827,85.8,8626
Virginia,Hampton,Republican,137436,2673.2,9386
Tennessee,Hardin,Republican,26026,45.1,3764
Georgia,Turner,Republican,8930,31.3,1131
Florida,Calhoun,Republican,14625,25.8,1113
Alabama,Hale,Republican,15760,24.5,1117
Kentucky,Carroll,Republican,10811,84.1,237
Louisiana,St. Mary,Republican,54650,98.4,2916
Nebraska,Sarpy,Republican,158840,664.6,13978
Missouri,St. Charles,Republican,360485,643.2,72117
Tennessee,McNairy,Republican,26075,46.3,3679
Tennessee,Smith,Republican,19166,61.0,2897
Michigan,Monroe,Republican,152021,276.7,20746
Indiana,White,Republican,24643,48.8,5191
Pennsylvania,Cameron,Republican,5085,12.8,794
Missouri,Monroe,Republican,8840,13.6,1580
Washington,Clallam,Republican,71404,41.1,8220
West Virginia,Jefferson,Republican,53498,255.2,4891
Montana,Beaverhead,Republican,9246,1.7,2038
Nevada,Lincoln,Republican,5345,0.5,285
Arkansas,Faulkner,Republican,113237,174.8,18277
Missouri,Jasper,Republican,117404,183.9,20245
Ohio,Clark,Republican,138333,348.0,23928
Montana,Valley,Republican,7369,1.5,1507
Montana,Carbon,Republican,10078,4.9,1779
Texas,Camp,Republican,12401,63.3,1919
Oklahoma,Kay,Republican,46562,50.6,6287
Louisiana,Franklin,Republican,20767,33.2,1366
Arkansas,Yell,Republican,22185,23.9,2374
New Mexico,Union,Republican,4549,1.2,386
Georgia,Union,Republican,21356,66.3,5824
Missouri,Mercer,Republican,3785,8.3,733
Illinois,Massac,Republican,15429,65.0,2943
Iowa,Butler,Republican,14867,25.6,910
New York,Saratoga,Republican,219607,271.1,23367
Nebraska,Nance,Republican,3735,8.5,408
Tennessee,Maury,Republican,80956,132.0,11572
New Mexico,Cibola,Republican,27213,6.0,866
Michigan,Leelanau,Republican,21708,62.5,4566
Virginia,Augusta,Republican,73750,76.3,13569
South Carolina,Barnwell,Republican,22621,41.2,2588
Idaho,Owyhee,Republican,11526,1.5,1634
North Carolina,Durham,Republican,267587,935.7,15891
Texas,Rockwall,Republican,78337,616.7,16636
Louisiana,Bienville,Republican,14353,17.7,966
Texas,Jeff Davis,Republican,2342,1.0,496
Missouri,Harrison,Republican,8957,12.4,1572
Texas,Bell,Republican,310235,295.2,29843
New York,Nassau,Republican,1339532,4704.8,97996
Illinois,Wabash,Republican,11947,53.5,2228
West Virginia,Lewis,Republican,16372,42.5,2493
Michigan,Alger,Republican,9601,10.5,1215
Nebraska,Knox,Republican,8701,7.9,937
Texas,Rains,Republican,10914,47.6,2182
Pennsylvania,Indiana,Republican,88880,107.5,11817
Oklahoma,Rogers,Republican,86905,128.6,15533
Oregon,Marion,Republican,315335,266.7,26622
California,Orange,Republican,3010232,3807.7,185017
Texas,Clay,Republican,10752,9.9,2817
Florida,Gilchrist,Republican,16939,48.4,3100
Missouri,Platte,Republican,89322,212.6,14480
Arkansas,Dallas,Republican,8116,12.2,428
Georgia,Whitfield,Republican,102599,353.2,12598
New York,Washington,Republican,63216,76.1,5052
Tennessee,Benton,Republican,16489,41.8,2197
Oklahoma,Muskogee,Republican,70990,87.6,4968
New Jersey,Passaic,Republican,501226,2715.3,19777
Pennsylvania,Mercer,Republican,116638,173.4,14583
Illinois,Saline,Republican,24913,65.6,4119
Wisconsin,Lafayette,Republican,16836,26.6,2824
Montana,Gallatin,Republican,89513,34.4,10972
Utah,Weber,Republican,231236,401.4,10518
Oklahoma,Pushmataha,Republican,11572,8.3,548
Texas,Zavala,Republican,11677,9.0,0
Arizona,Graham,Republican,37220,8.1,3309
Oregon,Clackamas,Republican,375992,201.0,39159
Illinois,Logan,Republican,30305,49.0,5877
Iowa,Grundy,Republican,12453,24.8,946
Texas,Taylor,Republican,131506,143.6,21287
Georgia,Decatur,Republican,27842,46.6,3092
Kentucky,Bell,Republican,28691,79.9,1255
Oregon,Lincoln,Republican,46034,47.0,4722
California,Sutter,Republican,94737,157.3,5469
Louisiana,Natchitoches,Republican,39566,31.6,2587
Texas,Hopkins,Republican,35161,45.8,6668
South Dakota,Kingsbury,Republican,5148,6.2,638
Virginia,Lee,Republican,25587,58.8,2019
Tennessee,Shelby,Republican,927644,1215.5,67969
Arkansas,Howard,Republican,13789,23.4,1580
South Carolina,Bamberg,Republican,15987,40.6,1200
Montana,Judith Basin,Republican,2072,1.1,525
Texas,Mitchell,Republican,9403,10.3,1179
North Carolina,Sampson,Republican,63431,67.1,6806
Tennessee,Polk,Republican,16825,38.7,2212
Nevada,Lyon,Republican,51980,26.0,2891
Louisiana,East Carroll,Republican,7759,18.4,237
South Carolina,Saluda,Republican,19875,43.9,3431
Louisiana,Jefferson,Republican,432552,1463.1,28757
Virginia,Colonial Heights,Republican,17411,2315.3,2863
Missouri,LaClede,Republican,35571,46.5,7485
Texas,Archer,Republican,9054,10.0,2384
Michigan,Manistee,Republican,24733,45.6,3567
Virginia,King George,Republican,23584,131.3,3866
Texas,Jackson,Republican,14075,17.0,2663
Texas,Fisher,Republican,3974,4.4,552
Iowa,Appanoose,Republican,12887,25.9,839
Oklahoma,Greer,Republican,6239,9.8,288
Idaho,Latah,Republican,37244,34.6,3839
Virginia,Cumberland,Republican,10052,33.8,1378
California,Merced,Republican,255793,132.2,8132
Virginia,Dinwiddie,Republican,28001,55.6,2775
Virginia,Chesterfield,Republican,316236,747.1,53331
New York,Montgomery,Republican,50219,124.6,3505
Oklahoma,Murray,Republican,13488,32.4,976
Florida,Flagler,Republican,95696,197.1,16459
Florida,Pasco,Republican,464697,622.2,63611
South Carolina,Allendale,Republican,10419,25.5,361
Texas,Live Oak,Republican,11531,11.1,2084
Michigan,Baraga,Republican,8860,9.9,1000
Texas,Dickens,Republican,2444,2.7,540
Georgia,Jenkins,Republican,8340,24.0,973
North Carolina,Iredell,Republican,159437,277.8,27154
Georgia,Baker,Republican,3451,10.1,424
Idaho,Teton,Republican,10170,22.6,1000
West Virginia,Mineral,Republican,28212,86.1,4022
Michigan,Mackinac,Republican,11113,10.9,1883
Oklahoma,Stephens,Republican,45048,51.8,5362
Tennessee,Franklin,Republican,41052,74.0,6285
Florida,Lake,Republican,297052,316.6,52103
Missouri,Gentry,Republican,6738,13.7,1025
Illinois,Fulton,Republican,37069,42.8,4448
Iowa,Adair,Republican,7682,13.5,405
Pennsylvania,Clarion,Republican,39988,66.6,6703
New York,Schuyler,Republican,18343,55.9,1753
Ohio,Van Wert,Republican,28744,70.3,6826
Michigan,Midland,Republican,83629,162.0,13501
Iowa,Madison,Republican,15679,27.9,1346
California,San Benito,Republican,55269,39.8,1830
Wisconsin,Portage,Republican,70019,87.4,12339
Georgia,Treutlen,Republican,6885,34.5,794
Kentucky,Washington,Republican,11717,39.4,581
Texas,Sterling,Republican,1143,1.2,378
New York,Franklin,Republican,51599,31.7,2464
Montana,Toole,Republican,5324,2.8,1023
Kentucky,Cumberland,Republican,6856,22.5,966
West Virginia,Calhoun,Republican,7627,27.3,536
South Dakota,Bon Homme,Republican,7070,12.5,508
Texas,Somervell,Republican,8490,45.5,2367
Washington,Pierce,Republican,795225,476.3,60812
New Mexico,McKinley,Republican,71492,13.1,1137
Washington,Pend Oreille,Republican,13001,9.3,2263
Arkansas,Franklin,Republican,18125,29.8,3200
Nebraska,Garden,Republican,2057,1.2,455
Missouri,Putnam,Republican,4979,9.6,1015
Kentucky,Laurel,Republican,58849,135.6,4853
Tennessee,Macon,Republican,22248,72.4,3014
Oklahoma,Beckham,Republican,22119,24.5,2159
Mississippi,Alcorn,Republican,37057,92.6,5639
North Carolina,Stanly,Republican,60585,153.3,10142
Indiana,Spencer,Republican,20952,52.8,4020
Iowa,Pottawattamie,Republican,93158,98.0,4369
Nebraska,Otoe,Republican,15740,25.6,1915
Tennessee,Hawkins,Republican,56833,116.7,8875
Missouri,Pulaski,Republican,52274,95.5,5335
Louisiana,Allen,Republican,25764,33.8,1029
Texas,Brooks,Republican,7223,7.7,58
Texas,Kendall,Republican,33410,50.4,9614
Georgia,Butts,Republican,23655,128.3,3826
Tennessee,Unicoi,Republican,18313,98.4,3469
Virginia,Buckingham,Republican,17146,29.6,1631
Alabama,Shelby,Republican,195085,248.5,52162
Oklahoma,Pawnee,Republican,16577,29.2,1940
Nebraska,Cherry,Republican,5713,1.0,1695
Georgia,Clayton,Republican,259424,1832.5,7625
