"county","state","party","wielkość_hrabstwa","liczba_gł_republikanie","liczba_gł_demokraci","winner"
Pope,Illinois,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Lyon,Kentucky,Republican,"0 - 10 tyś",394858,188795,Republikanie
Crane,Texas,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Lincoln,Georgia,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Tyler,West Virginia,Republican,"0 - 10 tyś",394858,188795,Republikanie
Collingsworth,Texas,Republican,"0 - 10 tyś",394858,188795,Republikanie
Terrell,Texas,Republican,"0 - 10 tyś",394858,188795,Republikanie
Clear Creek,Colorado,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Faulk,South Dakota,Republican,"0 - 10 tyś",394858,188795,Republikanie
Cotton,Oklahoma,Republican,"0 - 10 tyś",394858,188795,Republikanie
Camden,North Carolina,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Calhoun,Iowa,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Sioux,Nebraska,Republican,"0 - 10 tyś",394858,188795,Republikanie
Stillwater,Montana,Republican,"0 - 10 tyś",394858,188795,Republikanie
Miller,Georgia,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Love,Oklahoma,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Logan,Nebraska,Republican,"0 - 10 tyś",394858,188795,Republikanie
Franklin,Mississippi,Republican,"0 - 10 tyś",394858,188795,Republikanie
Haakon,South Dakota,Republican,"0 - 10 tyś",394858,188795,Republikanie
Chouteau,Montana,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Pocahontas,Iowa,Republican,"0 - 10 tyś",394858,188795,Republikanie
Banner,Nebraska,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Glascock,Georgia,Republican,"0 - 10 tyś",394858,188795,Republikanie
Cuming,Nebraska,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Owsley,Kentucky,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Warren,Indiana,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Stewart,Georgia,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Pleasants,West Virginia,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Carson,Texas,Republican,"0 - 10 tyś",394858,188795,Republikanie
Turner,South Dakota,Republican,"0 - 10 tyś",394858,188795,Republikanie
Yoakum,Texas,Republican,"0 - 10 tyś",394858,188795,Republikanie
Wallowa,Oregon,Republican,"0 - 10 tyś",394858,188795,Republikanie
Hall,Texas,Republican,"0 - 10 tyś",394858,188795,Republikanie
Valley,Idaho,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Schoolcraft,Michigan,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Grant,Oregon,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Oldham,Texas,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Presidio,Texas,Republican,"0 - 10 tyś",394858,188795,Republikanie
Washington,Colorado,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Shackelford,Texas,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Ontonagon,Michigan,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Martin,Texas,Republican,"0 - 10 tyś",394858,188795,Republikanie
Borden,Texas,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Grant,Oklahoma,Republican,"0 - 10 tyś",394858,188795,Republikanie
Kingsbury,South Dakota,Republican,"0 - 10 tyś",394858,188795,Republikanie
St. Clair,Missouri,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Dallam,Texas,Republican,"0 - 10 tyś",394858,188795,Republikanie
Trousdale,Tennessee,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Wayne,Utah,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Boise,Idaho,Republican,"0 - 10 tyś",394858,188795,Republikanie
Blaine,Montana,Republican,"0 - 10 tyś",394858,188795,Republikanie
Dallam,Texas,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Wirt,West Virginia,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Hayes,Nebraska,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Jefferson,Mississippi,Republican,"0 - 10 tyś",394858,188795,Republikanie
Webster,West Virginia,Republican,"0 - 10 tyś",394858,188795,Republikanie
Pulaski,Illinois,Republican,"0 - 10 tyś",394858,188795,Republikanie
Crane,Texas,Republican,"0 - 10 tyś",394858,188795,Republikanie
Hanson,South Dakota,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Ziebach,South Dakota,Republican,"0 - 10 tyś",394858,188795,Republikanie
Lyman,South Dakota,Republican,"0 - 10 tyś",394858,188795,Republikanie
Fremont,Iowa,Republican,"0 - 10 tyś",394858,188795,Republikanie
Clinch,Georgia,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Stanley,South Dakota,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Hancock,Tennessee,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Meagher,Montana,Republican,"0 - 10 tyś",394858,188795,Republikanie
Collingsworth,Texas,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Pondera,Montana,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Harrison,Missouri,Republican,"0 - 10 tyś",394858,188795,Republikanie
Thurston,Nebraska,Republican,"0 - 10 tyś",394858,188795,Republikanie
Broadwater,Montana,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Loving,Texas,Republican,"0 - 10 tyś",394858,188795,Republikanie
Quay,New Mexico,Republican,"0 - 10 tyś",394858,188795,Republikanie
Bennett,South Dakota,Republican,"0 - 10 tyś",394858,188795,Republikanie
Howard,Nebraska,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Harmon,Oklahoma,Republican,"0 - 10 tyś",394858,188795,Republikanie
Pepin,Wisconsin,Republican,"0 - 10 tyś",394858,188795,Republikanie
Sullivan,Pennsylvania,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Schuyler,Missouri,Republican,"0 - 10 tyś",394858,188795,Republikanie
Atchison,Missouri,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Fall River,South Dakota,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Judith Basin,Montana,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Ziebach,South Dakota,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Beaver,Oklahoma,Republican,"0 - 10 tyś",394858,188795,Republikanie
Sully,South Dakota,Republican,"0 - 10 tyś",394858,188795,Republikanie
Treutlen,Georgia,Republican,"0 - 10 tyś",394858,188795,Republikanie
Gosper,Nebraska,Republican,"0 - 10 tyś",394858,188795,Republikanie
Morgan,Utah,Republican,"0 - 10 tyś",394858,188795,Republikanie
Franklin City,Virginia,Republican,"0 - 10 tyś",394858,188795,Republikanie
Arthur,Nebraska,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Howard,Iowa,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Rock,Nebraska,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Decatur,Iowa,Republican,"0 - 10 tyś",394858,188795,Republikanie
Wibaux,Montana,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Knox,Missouri,Republican,"0 - 10 tyś",394858,188795,Republikanie
Johnson,Georgia,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Covington,Virginia,Republican,"0 - 10 tyś",394858,188795,Republikanie
Chase,Nebraska,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Nuckolls,Nebraska,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Clearwater,Idaho,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Franklin City,Virginia,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Daniels,Montana,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Webster,Georgia,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Wheatland,Montana,Republican,"0 - 10 tyś",394858,188795,Republikanie
Valley,Montana,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Castro,Texas,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Beaver,Oklahoma,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Glasscock,Texas,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Greeley,Nebraska,Republican,"0 - 10 tyś",394858,188795,Republikanie
Ozark,Missouri,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Daggett,Utah,Republican,"0 - 10 tyś",394858,188795,Republikanie
Buffalo,South Dakota,Republican,"0 - 10 tyś",394858,188795,Republikanie
Powder River,Montana,Republican,"0 - 10 tyś",394858,188795,Republikanie
Ferry,Washington,Republican,"0 - 10 tyś",394858,188795,Republikanie
Jerauld,South Dakota,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Burt,Nebraska,Republican,"0 - 10 tyś",394858,188795,Republikanie
Warren,Georgia,Republican,"0 - 10 tyś",394858,188795,Republikanie
Hyde,South Dakota,Republican,"0 - 10 tyś",394858,188795,Republikanie
Hand,South Dakota,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Union,Indiana,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Roberts,Texas,Republican,"0 - 10 tyś",394858,188795,Republikanie
Boyd,Nebraska,Republican,"0 - 10 tyś",394858,188795,Republikanie
Twiggs,Georgia,Republican,"0 - 10 tyś",394858,188795,Republikanie
Perkins,South Dakota,Republican,"0 - 10 tyś",394858,188795,Republikanie
Sherman,Oregon,Republican,"0 - 10 tyś",394858,188795,Republikanie
Culberson,Texas,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Baker,Georgia,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Tyler,West Virginia,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Tyrrell,North Carolina,Republican,"0 - 10 tyś",394858,188795,Republikanie
Niobrara,Wyoming,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Tyrrell,North Carolina,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Calhoun,Georgia,Republican,"0 - 10 tyś",394858,188795,Republikanie
McLean,Kentucky,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Prairie,Arkansas,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Miner,South Dakota,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Miller,Georgia,Republican,"0 - 10 tyś",394858,188795,Republikanie
Franklin,Nebraska,Republican,"0 - 10 tyś",394858,188795,Republikanie
Lafayette,Florida,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Emporia,Virginia,Republican,"0 - 10 tyś",394858,188795,Republikanie
Stewart,Georgia,Republican,"0 - 10 tyś",394858,188795,Republikanie
Lake,Oregon,Republican,"0 - 10 tyś",394858,188795,Republikanie
Sanborn,South Dakota,Republican,"0 - 10 tyś",394858,188795,Republikanie
Armstrong,Texas,Republican,"0 - 10 tyś",394858,188795,Republikanie
Mineral,Nevada,Republican,"0 - 10 tyś",394858,188795,Republikanie
Kane,Utah,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Fallon,Montana,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Sherman,Nebraska,Republican,"0 - 10 tyś",394858,188795,Republikanie
Hamilton,Texas,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Putnam,Missouri,Republican,"0 - 10 tyś",394858,188795,Republikanie
Power,Idaho,Republican,"0 - 10 tyś",394858,188795,Republikanie
Sheridan,Montana,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Doddridge,West Virginia,Republican,"0 - 10 tyś",394858,188795,Republikanie
Thayer,Nebraska,Republican,"0 - 10 tyś",394858,188795,Republikanie
King and Queen,Virginia,Republican,"0 - 10 tyś",394858,188795,Republikanie
Elliott,Kentucky,Republican,"0 - 10 tyś",394858,188795,Republikanie
Scott,Illinois,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Greene,Iowa,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Butte,Idaho,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Hyde,North Carolina,Republican,"0 - 10 tyś",394858,188795,Republikanie
Greer,Oklahoma,Republican,"0 - 10 tyś",394858,188795,Republikanie
Hooker,Nebraska,Republican,"0 - 10 tyś",394858,188795,Republikanie
Pocahontas,West Virginia,Republican,"0 - 10 tyś",394858,188795,Republikanie
Taliaferro,Georgia,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Gilmer,West Virginia,Democrat,"0 - 10 tyś",394858,188795,Republikanie
East Carroll,Louisiana,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Howard,Nebraska,Republican,"0 - 10 tyś",394858,188795,Republikanie
Atchison,Missouri,Republican,"0 - 10 tyś",394858,188795,Republikanie
Hyde,South Dakota,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Marshall,South Dakota,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Pershing,Nevada,Republican,"0 - 10 tyś",394858,188795,Republikanie
Calhoun,Arkansas,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Lander,Nevada,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Trousdale,Tennessee,Republican,"0 - 10 tyś",394858,188795,Republikanie
Harding,New Mexico,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Knox,Texas,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Richardson,Nebraska,Republican,"0 - 10 tyś",394858,188795,Republikanie
Valley,Nebraska,Republican,"0 - 10 tyś",394858,188795,Republikanie
Nicholas,Kentucky,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Keweenaw,Michigan,Republican,"0 - 10 tyś",394858,188795,Republikanie
Treasure,Montana,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Keith,Nebraska,Republican,"0 - 10 tyś",394858,188795,Republikanie
Covington,Virginia,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Taylor,Iowa,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Rosebud,Montana,Republican,"0 - 10 tyś",394858,188795,Republikanie
Swisher,Texas,Republican,"0 - 10 tyś",394858,188795,Republikanie
Corson,South Dakota,Republican,"0 - 10 tyś",394858,188795,Republikanie
Schleicher,Texas,Republican,"0 - 10 tyś",394858,188795,Republikanie
Taylor,Iowa,Republican,"0 - 10 tyś",394858,188795,Republikanie
Douglas,South Dakota,Republican,"0 - 10 tyś",394858,188795,Republikanie
Beaver,Utah,Republican,"0 - 10 tyś",394858,188795,Republikanie
Musselshell,Montana,Republican,"0 - 10 tyś",394858,188795,Republikanie
Daviess,Missouri,Republican,"0 - 10 tyś",394858,188795,Republikanie
Stillwater,Montana,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Adams,Iowa,Republican,"0 - 10 tyś",394858,188795,Republikanie
Fisher,Texas,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Humphreys,Mississippi,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Beaver,Utah,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Baca,Colorado,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Carroll,Missouri,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Taliaferro,Georgia,Republican,"0 - 10 tyś",394858,188795,Republikanie
Mellette,South Dakota,Republican,"0 - 10 tyś",394858,188795,Republikanie
Esmeralda,Nevada,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Petroleum,Montana,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Coal,Oklahoma,Republican,"0 - 10 tyś",394858,188795,Republikanie
Dade,Missouri,Republican,"0 - 10 tyś",394858,188795,Republikanie
Cochran,Texas,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Sweet Grass,Montana,Republican,"0 - 10 tyś",394858,188795,Republikanie
Major,Oklahoma,Republican,"0 - 10 tyś",394858,188795,Republikanie
Grand,Utah,Republican,"0 - 10 tyś",394858,188795,Republikanie
Dallas,Arkansas,Republican,"0 - 10 tyś",394858,188795,Republikanie
Nevada,Arkansas,Republican,"0 - 10 tyś",394858,188795,Republikanie
McLean,Kentucky,Republican,"0 - 10 tyś",394858,188795,Republikanie
Brule,South Dakota,Republican,"0 - 10 tyś",394858,188795,Republikanie
Bland,Virginia,Republican,"0 - 10 tyś",394858,188795,Republikanie
Choctaw,Mississippi,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Edwards,Illinois,Republican,"0 - 10 tyś",394858,188795,Republikanie
Ohio,Indiana,Republican,"0 - 10 tyś",394858,188795,Republikanie
McCook,South Dakota,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Kimble,Texas,Republican,"0 - 10 tyś",394858,188795,Republikanie
Delta,Texas,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Carlisle,Kentucky,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Pawnee,Nebraska,Republican,"0 - 10 tyś",394858,188795,Republikanie
Spink,South Dakota,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Antelope,Nebraska,Republican,"0 - 10 tyś",394858,188795,Republikanie
Costilla,Colorado,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Ohio,Indiana,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Wayne,Utah,Republican,"0 - 10 tyś",394858,188795,Republikanie
Cedar,Nebraska,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Monroe,Arkansas,Republican,"0 - 10 tyś",394858,188795,Republikanie
Lynn,Texas,Republican,"0 - 10 tyś",394858,188795,Republikanie
Brown,Nebraska,Republican,"0 - 10 tyś",394858,188795,Republikanie
Boyd,Nebraska,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Merrick,Nebraska,Republican,"0 - 10 tyś",394858,188795,Republikanie
Valley,Idaho,Republican,"0 - 10 tyś",394858,188795,Republikanie
Huerfano,Colorado,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Owsley,Kentucky,Republican,"0 - 10 tyś",394858,188795,Republikanie
McMullen,Texas,Republican,"0 - 10 tyś",394858,188795,Republikanie
Dimmit,Texas,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Wheatland,Montana,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Custer,Colorado,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Twiggs,Georgia,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Pendleton,West Virginia,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Fallon,Montana,Republican,"0 - 10 tyś",394858,188795,Republikanie
Motley,Texas,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Kent,Texas,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Pierce,Nebraska,Republican,"0 - 10 tyś",394858,188795,Republikanie
Floyd,Texas,Republican,"0 - 10 tyś",394858,188795,Republikanie
Cochran,Texas,Republican,"0 - 10 tyś",394858,188795,Republikanie
Cumberland,Kentucky,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Benton,Mississippi,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Carter,Missouri,Republican,"0 - 10 tyś",394858,188795,Republikanie
Monroe,Iowa,Republican,"0 - 10 tyś",394858,188795,Republikanie
Hardeman,Texas,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Hemphill,Texas,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Johnson,Wyoming,Democrat,"0 - 10 tyś",394858,188795,Republikanie
Storey,Nevada,Democrat,"0 - 10 tyś",394858,188795,Republikanie
