"county","state","party","wielkość_hrabstwa","liczba_gł_republikanie","liczba_gł_demokraci","winner"
Gates,North Carolina,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Meade,South Dakota,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Benton,Missouri,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Lamar,Georgia,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Starke,Indiana,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Frio,Texas,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Clay,Alabama,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Jackson,Kentucky,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Bacon,Georgia,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Box Butte,Nebraska,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Meriwether,Georgia,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
McIntosh,Oklahoma,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Yazoo,Mississippi,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Perry,Kentucky,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Harrison,Ohio,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Perry,Missouri,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Washington,Iowa,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Ohio,Kentucky,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Lake,South Dakota,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
McCormick,South Carolina,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Union,Georgia,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Karnes,Texas,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Roscommon,Michigan,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Ripley,Missouri,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Lincoln,Montana,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Elbert,Colorado,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Wayne,Kentucky,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Buffalo,Wisconsin,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Richland,Illinois,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Greene,Mississippi,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Mercer,Illinois,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Nodaway,Missouri,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Lincoln,Wisconsin,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Hutchinson,Texas,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Emery,Utah,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Macon,Alabama,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Leake,Mississippi,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Hampshire,West Virginia,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Hart,Georgia,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Custer,Nebraska,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Owen,Kentucky,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Henderson,Tennessee,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Grayson,Virginia,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Grundy,Tennessee,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Jefferson,Oregon,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Macon,Georgia,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Limestone,Texas,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Perry,Missouri,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Franklin,Louisiana,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Las Animas,Colorado,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Franklin,Florida,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Howard,Missouri,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Langlade,Wisconsin,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Deaf Smith,Texas,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Allendale,South Carolina,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Marion,Texas,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Pecos,Texas,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Pecos,Texas,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Dent,Missouri,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Plaquemines,Louisiana,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Butte,South Dakota,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Yell,Arkansas,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Greene,Illinois,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Boone,Iowa,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Scurry,Texas,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Jefferson,Oregon,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Stoddard,Missouri,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Shelby,Texas,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Salem,Virginia,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Big Horn,Montana,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Lake,Michigan,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Roscommon,Michigan,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Richland,Louisiana,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Newton,Mississippi,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Karnes,Texas,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
San Miguel,New Mexico,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Manistee,Michigan,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Mono,California,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Cass,Iowa,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Falls,Texas,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Columbia,Arkansas,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Candler,Georgia,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Murray,Oklahoma,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Mason,Kentucky,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Calhoun,South Carolina,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Callahan,Texas,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Breathitt,Kentucky,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Iosco,Michigan,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Gilchrist,Florida,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Upshur,West Virginia,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Carroll,Indiana,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Haralson,Georgia,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Wayne,Kentucky,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Beckham,Oklahoma,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Plaquemines,Louisiana,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Willacy,Texas,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Letcher,Kentucky,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Grayson,Kentucky,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Gogebic,Michigan,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Vernon,Wisconsin,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Randolph,Arkansas,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Jefferson,Washington,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Guthrie,Iowa,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Kossuth,Iowa,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Conway,Arkansas,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Appomattox,Virginia,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Rockcastle,Kentucky,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Washington,Florida,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Marshall,Oklahoma,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Menard,Illinois,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Fulton,Indiana,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Sabine,Texas,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Carroll,Ohio,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Tyler,Texas,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Montgomery,Missouri,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Izard,Arkansas,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Lewis,Tennessee,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Henry,Missouri,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Madison,Florida,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Parmer,Texas,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Reeves,Texas,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Union,Iowa,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Sac,Iowa,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Swain,North Carolina,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Franklin,Indiana,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Lawrence,Illinois,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Salem,Virginia,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Nelson,Virginia,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Carbon,Utah,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Toombs,Georgia,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Lawrence,Arkansas,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Cumberland,Virginia,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Powell,Kentucky,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Perquimans,North Carolina,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Hertford,North Carolina,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Andrews,Texas,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Gulf,Florida,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Okfuskee,Oklahoma,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Saline,Nebraska,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Pike,Arkansas,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Posey,Indiana,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Teton,Wyoming,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Walthall,Mississippi,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Panola,Texas,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Lewis,Missouri,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Klickitat,Washington,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Waushara,Wisconsin,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Crook,Oregon,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Price,Wisconsin,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Dickinson,Iowa,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Deaf Smith,Texas,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Concordia,Louisiana,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
McDowell,West Virginia,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Ray,Missouri,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Colfax,New Mexico,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Newton,Indiana,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Washington,Alabama,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Butler,Alabama,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Sumter,Alabama,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Butte,South Dakota,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Franklin,Iowa,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Rush,Indiana,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Bond,Illinois,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Smith,Tennessee,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Phillips,Arkansas,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Douglas,Illinois,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Clay,North Carolina,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Shoshone,Idaho,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Overton,Tennessee,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Bullock,Alabama,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Linn,Missouri,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Marion,Mississippi,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Marshall,Oklahoma,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Palo Pinto,Texas,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Giles,Virginia,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Sabine,Louisiana,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Lauderdale,Tennessee,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Todd,Kentucky,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Sequatchie,Tennessee,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Jackson,Arkansas,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Otoe,Nebraska,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Bacon,Georgia,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Tishomingo,Mississippi,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Callahan,Texas,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Lafayette,Wisconsin,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Yell,Arkansas,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Letcher,Kentucky,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Otoe,Nebraska,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Lake,Montana,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Kingfisher,Oklahoma,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Codington,South Dakota,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Lancaster,Virginia,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Pend Oreille,Washington,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Austin,Texas,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Texas,Oklahoma,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Sullivan,Indiana,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Fayette,Illinois,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Metcalfe,Kentucky,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Brown,Indiana,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Martin,Kentucky,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Bell,Kentucky,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Pickens,Georgia,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Saluda,South Carolina,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Russell,Kentucky,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Yazoo,Mississippi,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Avery,North Carolina,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Uvalde,Texas,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Fluvanna,Virginia,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Union,Louisiana,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Fulton,Arkansas,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Iron,Missouri,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Meade,Kentucky,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Cross,Arkansas,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Middlesex,Virginia,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Scott,Indiana,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Trempealeau,Wisconsin,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Eastland,Texas,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Yankton,South Dakota,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Ashland,Wisconsin,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Little River,Arkansas,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Cherokee,North Carolina,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Camp,Texas,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Sanpete,Utah,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Union,South Carolina,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Claiborne,Louisiana,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Estill,Kentucky,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Piatt,Illinois,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Ripley,Missouri,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Northampton,North Carolina,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Lewis,Missouri,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Dawson,Texas,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Sharp,Arkansas,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Geneva,Alabama,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Randolph,West Virginia,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Lincoln,Wisconsin,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Hill,Montana,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Socorro,New Mexico,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Bradford,Florida,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Fremont,Idaho,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Neshoba,Mississippi,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Washington,Iowa,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Ford,Illinois,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Aransas,Texas,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Choctaw,Oklahoma,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Macon,Alabama,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Montour,Pennsylvania,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Haskell,Oklahoma,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Clark,Illinois,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Morgan,West Virginia,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Union,Florida,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Miller,Missouri,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Baker,Oregon,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Simpson,Kentucky,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Mason,West Virginia,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
McDuffie,Georgia,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Long,Georgia,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
McIntosh,Georgia,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Morehouse,Louisiana,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Johnson,Illinois,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Gilmer,Georgia,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Hardee,Florida,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Greene,Virginia,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Jefferson,Florida,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Socorro,New Mexico,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Jeff Davis,Georgia,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Henry,Kentucky,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Perry,Indiana,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Oglethorpe,Georgia,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Calhoun,Texas,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Dawson,Nebraska,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Teton,Idaho,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Owyhee,Idaho,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Freestone,Texas,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Franklin,Idaho,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Alcona,Michigan,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Edmonson,Kentucky,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Prowers,Colorado,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Tyler,Texas,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Union,Tennessee,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Menominee,Michigan,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Duval,Texas,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Madison,Arkansas,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Lanier,Georgia,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Jackson,Arkansas,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Early,Georgia,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Bourbon,Kentucky,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Sussex,Virginia,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Screven,Georgia,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Dawson,Texas,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Potter,Pennsylvania,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Colusa,California,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Potter,Pennsylvania,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Payette,Idaho,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Osage,Missouri,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Grundy,Iowa,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Moore,Texas,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Walthall,Mississippi,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Hughes,South Dakota,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Greensville,Virginia,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Hughes,Oklahoma,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Stephens,Georgia,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Bandera,Texas,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Meigs,Tennessee,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Fannin,Georgia,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Dawson,Nebraska,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Cherokee,Iowa,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Glades,Florida,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Jerome,Idaho,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Mitchell,Georgia,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Hancock,Illinois,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Dooly,Georgia,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Cleburne,Arkansas,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Scott,Virginia,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Casey,Kentucky,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Calhoun,Mississippi,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Crawford,Indiana,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Dickinson,Iowa,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Dickenson,Virginia,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Marion,Kentucky,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Dawson,Georgia,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Keokuk,Iowa,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Grant,Arkansas,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Falls Church,Virginia,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Jackson,Tennessee,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Hart,Georgia,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Converse,Wyoming,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Washburn,Wisconsin,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Clay,Indiana,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Haywood,Tennessee,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Warren,North Carolina,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Alleghany,Virginia,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Edgar,Illinois,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Haralson,Georgia,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Winnebago,Iowa,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Wayne,Illinois,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Mineral,West Virginia,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Southampton,Virginia,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Goochland,Virginia,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Perry,Indiana,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Fleming,Kentucky,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Bamberg,South Carolina,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Park,Wyoming,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Tishomingo,Mississippi,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Jackson,Texas,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Washita,Oklahoma,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Northumberland,Virginia,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Macon,Tennessee,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
Grant,Louisiana,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Perry,Illinois,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Clinton,Missouri,Republican,"10 - 30 tyś",2229431,1186400,Republikanie
Allendale,South Carolina,Democrat,"10 - 30 tyś",2229431,1186400,Republikanie
